N	3gram	Tiupa_Narr	Tvorches
1	в то же	7	25
2	то же время	7	24
3	в том что	11	11
4	в соответствии с	7	8
5	о том что	3	8
6	по сути дела	2	7
7	и в то	2	7
8	в конечном счете	4	6
9	не может быть	6	6
10	и т п	2	5
11	по отношению к	5	5
12	в самом деле	3	5
13	с точки зрения	2	4
14	до сих пор	3	4
15	дело в том	2	4
16	и все же	4	3
17	точно так же	2	3
18	хотя и не	2	3
19	едва ли не	2	3
20	и не может	3	3
21	сами по себе	2	3
22	во всяком случае	2	3
23	в отличие от	6	3
24	не сводится к	7	2
25	но при этом	3	2
26	тем не менее	6	2
27	не только в	12	2
28	для того чтобы	4	2
29	можно сказать что	5	2
30	в связи с	3	2
31	в известном смысле	4	2
32	заключает в себе	2	2
33	особое место в	2	2
34	в данном случае	12	2
35	войне и мире	2	2
36	в е годы	2	2
37	к тому же	8	2
38	что у него	2	2
39	в свою очередь	2	2
