N	2gram	Nazirov_Tv	Russkaja
1	не может	9	22
2	и не	12	19
3	в том	13	17
4	в этом	11	17
5	и в	40	14
6	то что	9	13
7	самим собой	4	12
8	то же	19	11
9	таким образом	14	11
10	в то	23	10
11	но и	10	10
12	же время	18	10
13	не только	16	9
14	том что	14	9
15	может быть	11	9
16	в себе	3	9
17	во всяком	2	9
18	прежде всего	10	8
19	и с	9	7
20	к тому	2	7
21	о том	9	7
22	в данном	2	7
23	стремление к	2	7
24	и если	3	7
25	не будет	2	7
26	отнюдь не	9	7
27	ни к	2	7
28	самом деле	4	7
29	если в	3	6
30	на самом	3	6
31	в своих	8	6
32	в россии	5	6
33	если бы	4	6
34	всяком случае	2	6
35	все это	14	6
36	что он	11	6
37	в своем	4	6
38	для него	9	6
39	а в	10	5
40	было бы	2	5
41	хотя бы	5	5
42	между собой	2	5
43	и на	12	5
44	потому что	10	5
45	при этом	14	5
46	в нем	4	5
47	жизни в	9	5
48	в своей	8	5
49	во имя	3	5
50	только в	7	5
51	никогда не	13	5
52	и только	2	5
53	он не	10	5
54	между тем	2	5
55	во всех	2	5
56	что в	17	4
57	но не	7	4
58	его в	2	4
59	все же	9	4
60	себя в	3	4
61	не могут	2	4
62	не в	3	4
63	как и	16	4
64	ли это	2	4
65	в мире	8	4
66	как бы	26	4
67	приводит к	4	4
68	так как	6	4
69	которой он	2	4
70	жизни и	3	4
71	в его	19	4
72	в их	5	4
73	на земле	4	4
74	отказаться от	4	4
75	в этой	7	4
76	вместе с	4	4
77	одной из	7	3
78	данном случае	2	3
79	одна из	5	3
80	то это	2	3
81	о котором	2	3
82	что все	4	3
83	что для	3	3
84	на том	2	3
85	именно в	6	3
86	во что	2	3
87	приходит к	4	3
88	не есть	2	3
89	и потому	4	3
90	что оно	2	3
91	в конце	5	3
92	из них	4	3
93	но если	4	3
94	в самом	6	3
95	и как	5	3
96	для них	2	3
97	может не	2	3
98	что и	3	3
99	или в	2	3
100	сводится к	2	3
101	вряд ли	2	3
102	он сам	8	3
103	и по	5	3
104	связи с	2	3
105	еще не	5	3
106	в виде	4	3
107	того что	3	3
108	в качестве	2	3
109	что они	3	3
110	друг друга	2	3
111	не было	3	3
112	и т	14	3
113	тем что	2	3
114	ибо в	2	3
115	то в	2	3
116	и о	2	2
117	и должно	2	2
118	любви к	2	2
119	даже если	2	2
120	и от	8	2
121	не так	5	2
122	не к	2	2
123	но она	2	2
124	с этим	2	2
125	в таких	2	2
126	тем самым	10	2
127	стремления к	2	2
128	ее в	3	2
129	тому что	2	2
130	указывает на	2	2
131	она не	2	2
132	из всех	5	2
133	только с	3	2
134	но в	11	2
135	ни в	2	2
136	в котором	8	2
137	так же	6	2
138	на себя	2	2
139	в начале	2	2
140	это в	3	2
141	и человек	3	2
142	людей и	2	2
143	больше чем	2	2
144	в ней	2	2
145	на эту	4	2
146	уже не	6	2
147	время в	3	2
148	этот вопрос	4	2
149	по отношению	3	2
150	настоящее время	2	2
151	отношении к	2	2
152	во главе	2	2
153	если не	4	2
154	и даже	8	2
155	а не	9	2
156	себя как	2	2
157	по себе	2	2
158	от него	2	2
159	точно так	3	2
160	место в	6	2
161	зависит от	4	2
162	и тем	2	2
163	по самому	2	2
164	и вот	2	2
165	тогда как	3	2
166	и что	2	2
167	но это	10	2
168	что с	2	2
169	все эти	3	2
170	том же	3	2
171	только для	2	2
172	и наконец	3	2
173	а с	4	2
174	и тогда	2	2
175	в этих	2	2
176	только на	2	2
177	в частности	4	2
178	в таком	4	2
179	и есть	2	2
180	в россию	2	2
181	так что	4	2
182	во время	2	2
183	как будто	5	2
184	его и	2	2
185	за то	2	2
186	с ним	4	2
187	в глазах	2	2
188	у него	11	2
189	мы уже	2	2
190	культуры и	2	2
191	и более	2	2
