N	2gram	Propp_Russ	PoTuStor
1	может быть	14	17
2	и в	59	16
3	и пр	4	12
4	мы можем	2	9
5	в этом	18	9
6	таким образом	10	9
7	прежде всего	2	9
8	и с	12	8
9	точки зрения	3	8
10	не может	6	8
11	и его	2	8
12	не только	28	7
13	и это	2	6
14	с точки	3	6
15	и к	3	6
16	при этом	11	6
17	все эти	5	5
18	как бы	18	5
19	только для	3	5
20	еще не	7	5
21	в него	2	5
22	как мы	11	4
23	и на	14	4
24	все это	12	4
25	на самом	3	4
26	его в	9	4
27	в его	3	4
28	и ее	3	4
29	но и	20	4
30	и не	6	4
31	и все	4	4
32	но в	5	4
33	в этой	4	4
34	и наконец	2	4
35	так как	25	4
36	и их	4	4
37	все что	2	4
38	только в	4	4
39	в нем	3	4
40	с ними	6	4
41	так и	8	4
42	в один	2	4
43	отнюдь не	3	4
44	что в	35	3
45	и как	2	3
46	и потому	3	3
47	на этой	3	3
48	а в	16	3
49	в том	33	3
50	их в	7	3
51	с другими	3	3
52	в области	3	3
53	в основном	4	3
54	только на	4	3
55	во время	23	3
56	большинстве случаев	2	3
57	в большинстве	2	3
58	на две	3	3
59	в этих	3	3
60	как это	11	3
61	то что	10	3
62	только как	2	3
63	во всех	6	3
64	могут быть	3	3
65	вместе с	16	3
66	в одном	4	3
67	и др	4	3
68	на этом	6	3
69	том что	33	3
70	один из	10	2
71	для нас	12	2
72	по своему	2	2
73	мы видим	2	2
74	есть и	2	2
75	на них	4	2
76	в них	10	2
77	не можем	5	2
78	в жизни	2	2
79	и действительно	2	2
80	к ним	4	2
81	в одно	2	2
82	для этого	6	2
83	же как	5	2
84	и для	3	2
85	и всех	2	2
86	что это	4	2
87	и по	10	2
88	так называемый	2	2
89	а на	8	2
90	что и	8	2
91	не менее	3	2
92	ее в	7	2
93	на первый	3	2
94	было бы	3	2
95	как не	2	2
96	и других	9	2
97	о том	14	2
98	то же	6	2
99	с этим	4	2
100	как и	19	2
101	что он	2	2
102	так же	7	2
103	говорить о	2	2
104	мы не	11	2
105	себя и	2	2
106	из этих	6	2
107	находится в	3	2
108	с этой	2	2
109	не на	2	2
110	в частности	2	2
111	связанные с	5	2
112	у него	2	2
113	ту же	2	2
114	за счет	2	2
115	во всей	2	2
116	и о	4	2
117	оно не	2	2
118	к этому	7	2
119	что на	5	2
120	и через	2	2
121	по всему	2	2
122	связанных с	2	2
123	в пределах	2	2
124	и так	2	2
125	есть в	2	2
126	в этот	19	2
127	мы уже	2	2
128	с ним	2	2
129	между собой	4	2
130	но это	5	2
