N	2gram	Bakhtin_fo	VelikijI
1	и не	19	20
2	и в	84	16
3	так как	12	9
4	то что	13	9
5	еще не	8	8
6	в истории	6	8
7	и потому	4	7
8	на земле	2	7
9	что они	3	7
10	а не	7	7
11	человека и	15	6
12	в мире	4	5
13	как бы	11	5
14	на себя	2	5
15	бога и	2	5
16	но и	14	5
17	все это	10	5
18	хотя и	5	5
19	того что	5	5
20	что все	4	4
21	и все	10	4
22	как и	15	4
23	в котором	8	4
24	потому что	11	4
25	все что	2	4
26	в нем	28	4
27	в образе	8	4
28	в ней	4	4
29	что не	3	4
30	что мы	2	4
31	в его	19	4
32	в этом	41	4
33	что он	2	4
34	и есть	3	4
35	так и	17	4
36	никогда не	8	3
37	в жизни	6	3
38	что в	9	3
39	в том	16	3
40	и для	12	3
41	от этого	4	3
42	не имеет	5	3
43	но в	16	3
44	к тому	6	3
45	ни в	9	3
46	их в	6	3
47	нет ничего	4	3
48	должно быть	6	3
49	оно не	3	3
50	хотя бы	2	3
51	этого мира	5	3
52	в своей	2	3
53	во всех	13	3
54	личности и	2	3
55	в конце	11	3
56	по этому	2	3
57	в них	11	3
58	жизни и	12	3
59	что и	5	3
60	не было	8	3
61	лишь в	8	3
62	если не	3	3
63	не в	10	3
64	все эти	12	3
65	в этих	6	3
66	и они	4	3
67	в чем	3	3
68	тот же	4	3
69	с его	10	3
70	дороги и	3	2
71	и то	5	2
72	с тем	5	2
73	да и	4	2
74	одна из	3	2
75	но не	9	2
76	нет и	4	2
77	в прошлом	3	2
78	не могли	3	2
79	и это	5	2
80	это не	8	2
81	ее в	2	2
82	не только	16	2
83	не могут	4	2
84	а в	6	2
85	том что	7	2
86	мир и	2	2
87	его к	2	2
88	и во	13	2
89	во всяком	5	2
90	уже не	5	2
91	мы это	2	2
92	нем нет	2	2
93	могут быть	7	2
94	когда я	2	2
95	не к	2	2
96	и последнее	2	2
97	в последнем	3	2
98	один из	5	2
99	т д	3	2
100	в человека	2	2
101	вера в	2	2
102	для них	3	2
103	того чтобы	11	2
104	над ними	2	2
105	мира в	6	2
106	тем что	4	2
107	мы не	4	2
108	конечно не	7	2
109	что было	6	2
110	уже на	3	2
111	только в	12	2
112	на нас	3	2
113	и сам	2	2
114	в форме	5	2
115	его и	2	2
116	для нас	2	2
117	в себя	3	2
118	людей и	2	2
119	прежде всего	28	2
120	и т	21	2
121	с ним	5	2
122	всего в	4	2
123	мы и	4	2
124	для него	5	2
