N	3gram	Voloshinov	KulturaY
1	для того чтобы	7	38
2	с точки зрения	5	36
3	в самом деле	2	29
4	в зависимости от	7	16
5	только потому что	2	13
6	по отношению к	2	13
7	в связи с	2	12
8	в этом отношении	2	11
9	не может быть	2	11
10	о том что	2	10
11	вместе с тем	2	9
12	того или иного	5	9
13	на самом деле	3	8
14	не только в	3	8
15	в этом случае	3	8
16	чуть ли не	2	7
17	в свою очередь	4	7
18	в то же	9	6
19	той или иной	4	6
20	то же время	7	6
21	но все же	3	5
22	то или иное	4	5
23	как мы видели	3	5
24	тот или иной	2	4
25	и в области	2	4
26	к тому что	2	4
27	зависимости от того	2	4
28	смысле этого слова	2	4
29	в тех случаях	2	3
30	тех случаях когда	2	3
31	в конце концов	3	3
32	но для того	3	3
33	мы увидим что	2	3
34	тех или иных	3	3
35	в той же	3	3
36	и то же	5	2
37	не что иное	2	2
38	прежде всего в	4	2
39	и той же	4	2
40	не должно быть	2	2
41	и тем же	2	2
42	то же слово	2	2
43	не забудем что	3	2
44	что же такое	2	2
45	социального общения и	3	2
46	мы не знаем	2	2
47	то что мы	4	2
48	одной и той	4	2
49	что иное как	2	2
50	можно сказать что	2	2
51	и в то	2	2
