N	2gram	Ircho_Kome	PoTuStor
1	может быть	16	17
2	и в	40	16
3	мы можем	6	9
4	в этом	9	9
5	таким образом	13	9
6	прежде всего	8	9
7	и с	8	8
8	точки зрения	7	8
9	не может	3	8
10	и его	17	8
11	не только	12	7
12	с его	4	7
13	и это	3	6
14	и к	2	6
15	при этом	5	6
16	ни в	9	5
17	как бы	3	5
18	нуждается в	2	5
19	еще не	7	5
20	в чем	3	5
21	отношение к	3	5
22	как мы	5	4
23	и на	9	4
24	все это	7	4
25	его в	6	4
26	в его	8	4
27	и ее	5	4
28	но и	14	4
29	и не	19	4
30	и все	4	4
31	но в	6	4
32	с самого	3	4
33	в этой	9	4
34	с ее	2	4
35	так как	6	4
36	и их	3	4
37	все что	3	4
38	только в	6	4
39	в нем	8	4
40	хотя бы	2	4
41	с ними	2	4
42	так и	17	4
43	в один	2	4
44	для всех	5	4
45	самого начала	2	4
46	отнюдь не	2	4
47	и даже	5	4
48	едва ли	16	3
49	что в	12	3
50	и притом	2	3
51	даже не	4	3
52	жизни и	4	3
53	и теперь	3	3
54	и как	3	3
55	тех же	4	3
56	а в	9	3
57	в том	19	3
58	и вот	4	3
59	в общем	2	3
60	в области	3	3
61	до сих	3	3
62	только на	2	3
63	во время	11	3
64	большинстве случаев	2	3
65	в большинстве	2	3
66	на две	3	3
67	в этих	5	3
68	с их	4	3
69	как это	7	3
70	то что	8	3
71	во всех	4	3
72	могут быть	3	3
73	сих пор	3	3
74	всяком случае	4	3
75	вместе с	8	3
76	в одном	10	3
77	этом смысле	2	3
78	на этом	3	3
79	мы знаем	5	3
80	во всяком	4	3
81	том что	19	3
82	один из	9	2
83	все остальные	3	2
84	по своему	5	2
85	в них	7	2
86	для этого	2	2
87	же как	3	2
88	и для	4	2
89	совсем не	2	2
90	что это	5	2
91	аналогии с	2	2
92	и по	6	2
93	а на	2	2
94	что и	10	2
95	не менее	6	2
96	ее в	2	2
97	было бы	8	2
98	и других	7	2
99	о том	12	2
100	то же	7	2
101	с этим	5	2
102	как и	12	2
103	что он	11	2
104	так же	4	2
105	говорить о	3	2
106	да еще	2	2
107	того же	4	2
108	и таким	2	2
109	в своей	3	2
110	мы не	4	2
111	ни было	4	2
112	из этих	5	2
113	в самом	5	2
114	находится в	2	2
115	в начале	7	2
116	с этой	3	2
117	в частности	7	2
118	связанные с	2	2
119	он не	5	2
120	у него	6	2
121	ту же	2	2
122	за счет	3	2
123	и о	3	2
124	за пределы	2	2
125	к этому	8	2
126	путь к	2	2
127	что на	4	2
128	в развитии	2	2
129	нет и	2	2
130	по всему	3	2
131	меньше всего	3	2
132	связанных с	2	2
133	почти не	2	2
134	на протяжении	14	2
135	но это	2	2
