N	3gram	Medvedev_F	EvropaiE
1	с точки зрения	17	16
2	в то же	13	15
3	то же время	13	14
4	с одной стороны	5	8
5	и в то	4	8
6	одной стороны и	4	6
7	в том что	3	6
8	для того чтобы	3	5
9	бы то ни	4	4
10	и в этом	6	4
11	того или иного	6	4
12	и прежде всего	2	3
13	во всяком случае	6	3
14	в применении к	4	3
15	как бы ни	3	3
16	в этом отношении	7	3
17	в этом смысле	3	3
18	прежде всего в	5	2
19	в данном случае	2	2
20	хотя бы в	4	2
21	к тому чтобы	2	2
22	с другой стороны	4	2
23	друг от друга	2	2
24	дело идет о	3	2
25	и в частности	2	2
26	в большинстве случаев	5	2
27	но в то	3	2
28	так и в	6	2
29	как мы видели	5	2
30	в свою очередь	6	2
31	не может быть	11	2
