N	2gram	Bakhtin_Fr	Poddanst
1	не только	11	17
2	и в	73	14
3	и не	13	12
4	в области	3	11
5	в этом	21	10
6	в отношении	6	10
7	но в	12	9
8	то же	16	9
9	в том	13	9
10	в качестве	11	9
11	в то	14	7
12	только в	7	7
13	же время	12	7
14	но и	15	6
15	было бы	5	6
16	в ней	10	6
17	xix века	2	6
18	с другой	3	5
19	не в	12	5
20	и о	2	5
21	в которых	3	5
22	может быть	5	5
23	по себе	2	4
24	что в	14	4
25	и потому	6	4
26	тех кто	2	4
27	в своем	13	4
28	том что	8	4
29	а также	8	4
30	в котором	4	4
31	и к	6	4
32	как бы	15	4
33	то что	12	4
34	не может	4	4
35	а в	10	4
36	же в	2	4
37	что мы	2	3
38	и как	5	3
39	с тем	2	3
40	тем самым	3	3
41	это не	7	3
42	с точки	4	3
43	мы не	2	3
44	в себе	16	3
45	точки зрения	6	3
46	потому что	9	3
47	одной стороны	3	3
48	в нем	18	3
49	между тем	2	3
50	прежде всего	18	3
51	хотя и	5	3
52	тот же	3	3
53	с одной	3	3
54	с ними	4	3
55	для нас	2	2
56	должно быть	4	2
57	в них	14	2
58	в мире	3	2
59	одна из	7	2
60	есть не	2	2
61	в эту	2	2
62	и весьма	2	2
63	и это	6	2
64	и тем	3	2
65	и других	3	2
66	в его	18	2
67	с этим	4	2
68	и вот	3	2
69	время в	3	2
70	именно в	4	2
71	знать что	3	2
72	в начале	4	2
73	в виде	2	2
74	еще более	4	2
75	все это	19	2
76	в частности	2	2
77	том числе	4	2
78	начала и	4	2
79	а не	2	2
80	во всей	2	2
81	не было	4	2
82	и есть	3	2
83	например в	8	2
84	и с	17	2
85	может и	2	2
86	не будем	2	2
87	во всех	13	2
88	в ее	6	2
89	между прочим	2	2
90	как раз	3	2
91	есть в	9	2
92	в значительной	5	2
93	того что	5	2
94	в недрах	2	2
95	из них	6	2
