N	2gram	Voloshinov	UchenyiS
1	и в	28	14
2	не только	10	10
3	а не	9	10
4	и не	34	8
5	прежде всего	26	8
6	то что	17	7
7	не может	30	7
8	в этом	28	7
9	в искусстве	3	6
10	может быть	28	6
11	и только	6	5
12	то же	12	5
13	хотя бы	7	5
14	все это	12	5
15	в конечном	3	4
16	но и	10	4
17	в этой	7	4
18	конечном счете	3	4
19	что такое	6	4
20	с другой	2	4
21	в их	2	4
22	конечно не	10	4
23	у нас	3	3
24	для этого	6	3
25	не следует	2	3
26	это не	5	3
27	и то	3	3
28	в своей	14	3
29	все же	8	3
30	не как	2	3
31	как и	13	3
32	в то	7	3
33	но в	13	3
34	этой области	4	3
35	же время	6	3
36	ни было	2	3
37	было бы	8	3
38	в области	4	3
39	бы то	3	3
40	то ни	4	3
41	для него	12	3
42	в самом	12	2
43	в себе	7	2
44	что мы	3	2
45	и у	7	2
46	мы и	4	2
47	в широком	2	2
48	нас в	2	2
49	же самое	2	2
50	что он	12	2
51	таким образом	34	2
52	художественной формы	2	2
53	т.е в	5	2
54	формы и	3	2
55	но не	7	2
56	и для	7	2
57	если бы	4	2
58	между тем	3	2
59	самом деле	14	2
60	только в	11	2
61	одним из	3	2
62	этом смысле	2	2
63	а его	2	2
64	и является	3	2
65	не есть	2	2
66	что она	5	2
67	ничего не	5	2
68	всех этих	6	2
69	и с	10	2
70	что и	5	2
71	могут быть	9	2
72	на первый	5	2
73	не приходится	3	2
74	и через	2	2
75	не могут	7	2
76	это было	2	2
77	превращается в	2	2
78	сих пор	3	2
79	по себе	4	2
80	том что	12	2
81	а как	3	2
82	материал для	2	2
83	в его	25	2
84	пишет он	2	2
85	это уже	3	2
86	сводится к	4	2
87	все они	2	2
88	в том	10	2
89	что все	7	2
90	этом отношении	4	2
91	с его	9	2
92	как раз	6	2
93	должна быть	2	2
94	представляется нам	3	2
95	фактов и	2	2
96	конце концов	2	2
97	его и	2	2
98	но это	4	2
99	для всех	3	2
100	не в	10	2
101	бы и	2	2
102	в конце	2	2
103	в некоторых	2	2
104	мы не	9	2
105	до сих	3	2
106	могли бы	2	2
