N	2gram	Tiupa_Teor	Tragedij
1	и в	24	18
2	в романе	3	10
3	в году	2	9
4	в этом	12	9
5	не только	24	8
6	и не	17	7
7	и на	2	7
8	как бы	8	7
9	может быть	22	7
10	же время	8	6
11	что он	4	6
12	но в	12	6
13	и его	11	6
14	у него	2	6
15	несмотря на	2	5
16	к жизни	2	5
17	это не	4	5
18	то же	12	5
19	как и	6	5
20	так и	14	5
21	не может	8	5
22	в то	9	5
23	что в	10	4
24	еще не	6	4
25	в целом	4	4
26	но и	14	4
27	прежде всего	3	4
28	об этом	2	4
29	том что	11	4
30	в этой	3	4
31	и что	4	4
32	так же	2	4
33	все это	2	4
34	в нем	7	4
35	то что	6	4
36	я не	2	4
37	и даже	2	4
38	в себе	14	4
39	один из	2	3
40	своего рода	11	3
41	и как	3	3
42	в мире	26	3
43	тем самым	6	3
44	к нему	2	3
45	в своем	7	3
46	при этом	20	3
47	в его	12	3
48	все эти	3	3
49	мог бы	3	3
50	отнюдь не	3	3
51	о чем	3	3
52	с ее	4	3
53	и сам	4	3
54	как будто	2	3
55	никто не	3	3
56	как в	5	3
57	как это	10	3
58	для него	5	3
59	то есть	22	3
60	в конце	2	3
61	никогда не	4	2
62	в рассказе	2	2
63	в самом	7	2
64	и то	3	2
65	данном случае	5	2
66	перед нами	3	2
67	в душе	9	2
68	в одном	3	2
69	его в	4	2
70	имеет в	2	2
71	поведение в	2	2
72	в данном	9	2
73	не могут	2	2
74	в ее	6	2
75	к тому	4	2
76	о том	2	2
77	в ходе	5	2
78	о его	2	2
79	что и	2	2
80	ни в	5	2
81	не в	9	2
82	столь же	3	2
83	и здесь	2	2
84	потому что	3	2
85	о жизни	2	2
86	не просто	2	2
87	в частности	23	2
88	к области	3	2
89	только о	2	2
90	в таком	3	2
91	он не	5	2
92	и ее	4	2
93	в первом	2	2
94	уже не	6	2
95	что она	2	2
96	и это	2	2
97	говорит что	2	2
98	на меня	3	2
99	личности и	4	2
100	отличие от	7	2
101	в том	20	2
102	в глаза	2	2
103	дома и	2	2
104	который в	2	2
105	не случайно	5	2
106	в отличие	7	2
107	как говорит	3	2
108	для искусства	2	2
109	он и	2	2
110	с его	6	2
111	времени в	2	2
112	отношение к	7	2
