N	2gram	Bakhtin_Fr	formyVre
1	и в	67	148
2	в этом	27	73
3	то есть	49	70
4	в романе	15	58
5	в нем	20	51
6	прежде всего	19	46
7	и не	23	37
8	в его	17	36
9	и его	19	36
10	вовсе не	19	35
11	но и	23	33
12	то же	18	32
13	не только	23	32
14	в литературе	4	32
15	но в	20	31
16	жизни и	11	31
17	так и	14	29
18	времени в	2	27
19	может быть	4	27
20	не в	8	26
21	как мы	16	26
22	у рабле	20	25
23	как и	19	25
24	как бы	18	25
25	мы уже	13	24
26	точки зрения	7	24
27	в то	17	23
28	еды и	9	23
29	времени и	4	23
30	только в	6	23
31	то что	9	22
32	в том	16	22
33	жизни в	3	21
34	все эти	12	21
35	связи с	7	21
36	во всех	20	21
37	же время	14	21
38	и питья	9	20
39	в своем	13	19
40	и др	11	19
41	и для	4	19
42	и на	12	19
43	у него	4	18
44	и все	18	18
45	по существу	4	18
46	еще не	5	18
47	таким образом	20	18
48	с этим	6	17
49	при этом	5	17
50	так как	16	17
51	в особенности	7	17
52	в пределах	2	17
53	все же	7	16
54	кн i	7	16
55	того же	6	16
56	и во	4	16
57	в связи	5	16
58	в основе	6	16
59	не может	9	16
60	в условиях	3	16
61	и их	6	16
62	никогда не	6	15
63	в разных	2	15
64	в них	12	15
65	лишь в	3	15
66	так сказать	2	15
67	i гл	6	15
68	в дальнейшем	2	15
69	в одном	7	15
70	с точки	5	15
71	с его	11	15
72	вместе с	5	15
73	так же	13	14
74	все это	15	14
75	всех этих	9	14
76	и как	7	14
77	в конце	12	14
78	и с	18	14
79	как раз	5	14
80	а не	6	14
81	роль в	5	13
82	в их	4	13
83	в частности	4	13
84	а в	4	13
85	рабле в	9	13
86	с другом	2	13
87	здесь в	9	13
88	того чтобы	9	13
89	во время	15	13
90	друг с	2	13
91	для того	8	13
92	как в	4	13
93	в котором	3	13
94	в самом	7	13
95	с ним	6	13
96	ничего не	5	12
97	и питье	4	12
98	в истории	2	12
99	значение и	3	12
100	не было	3	12
101	и до	3	12
102	конечно не	5	12
103	и наконец	5	12
104	но не	6	12
105	потому что	8	12
106	это время	2	12
107	он не	9	12
108	что в	14	12
109	его в	10	11
110	и у	7	11
111	между ними	4	11
112	в образе	9	11
113	в ней	10	11
114	хотя и	6	11
115	и времени	2	11
116	ни в	5	11
117	романа в	2	11
118	из них	5	11
119	мира и	10	11
120	смерть и	2	11
121	здесь не	7	10
122	в ее	2	10
123	тот же	4	10
124	кроме того	11	10
125	и другие	5	10
126	сих пор	3	10
127	также и	11	10
128	в большинстве	6	10
129	уже говорили	7	10
130	до сих	3	10
131	и других	2	9
132	еда и	3	9
133	шута и	2	9
134	на этой	3	9
135	в других	2	9
136	жизнь и	5	9
137	том что	13	9
138	и даже	6	9
139	та же	2	9
140	и это	5	9
141	с другой	3	9
142	на протяжении	2	9
143	для него	4	9
144	но все	2	9
145	есть в	5	9
146	еда питье	3	9
147	в самой	8	9
148	их в	2	9
149	здесь нет	4	9
150	до конца	2	8
151	это не	5	8
152	в индивидуальном	2	8
153	и прежде	4	8
154	к тому	4	8
155	том числе	6	8
156	в целом	2	8
157	и т.п	31	8
158	большинстве случаев	6	8
159	один из	6	8
160	что и	8	8
161	здесь и	12	8
162	и то	2	8
163	а также	4	8
164	характер и	2	8
165	в результате	5	8
166	в этот	3	8
167	и по	3	8
168	если бы	2	8
169	мы еще	2	8
170	со всеми	6	8
171	с одной	2	8
172	в жизни	4	8
173	связанные с	7	8
174	рядом с	6	8
175	и к	7	8
176	в виду	2	8
177	на фоне	4	8
178	во времени	2	7
179	для всех	4	7
180	в себе	3	7
181	не как	3	7
182	связанных с	6	7
183	за счет	2	7
184	том же	3	7
185	у них	2	7
186	отличие от	3	7
187	того что	4	7
188	в той	2	7
189	место в	3	7
190	было бы	5	7
191	себя и	2	7
192	мир в	4	7
193	романе рабле	9	7
194	например в	6	7
195	романа рабле	5	7
196	к этому	4	7
197	из этих	4	7
198	и он	4	7
199	этот процесс	3	7
200	поэтому и	8	7
201	с ее	7	7
202	этом отношении	7	7
203	в эпизоде	11	7
204	не могло	3	7
205	к ним	2	7
206	в отличие	3	7
207	то время	4	7
208	в форме	2	7
209	в себя	6	7
210	в последующие	2	7
211	но он	5	7
212	все они	7	6
213	в отношении	2	6
214	не могут	3	6
215	смерти и	2	6
216	и ее	2	6
217	есть и	8	6
218	но эта	3	6
219	а как	3	6
220	здесь как	4	6
221	своей жизни	2	6
222	самой жизни	2	6
223	одной из	6	6
224	с тем	3	6
225	более того	3	6
226	панурга о	2	6
227	ту же	3	6
228	одной стороны	2	6
229	в основу	2	6
230	уже сказали	3	6
231	человеческого рода	2	6
232	мы видим	6	6
233	характерно что	4	6
234	в качестве	5	6
235	и дурака	2	6
236	сказать что	12	6
237	рабле и	4	6
238	до нас	4	6
239	в начале	2	6
240	особенно в	4	6
241	за пределы	4	6
242	мы не	6	6
243	мы можем	5	6
244	мы находим	5	6
245	на первый	4	6
246	в сущности	13	6
247	дан в	2	6
248	только для	4	6
249	еды питья	3	6
250	здесь все	4	6
251	нет и	4	6
252	о том	8	6
253	именно в	5	6
254	все что	3	6
255	время и	2	6
256	в эпоху	17	6
257	в которых	3	6
258	в таком	2	6
259	в различных	3	6
260	слова и	2	6
261	и речи	2	6
262	с помощью	6	6
263	во все	2	5
264	вернемся к	6	5
265	следовательно и	2	5
266	о чем	5	5
267	и вообще	3	5
268	на свет	3	5
269	этих форм	3	5
270	и пьянства	2	5
271	он должен	2	5
272	эти образы	13	5
273	в какой-то	2	5
274	и ни	3	5
275	и почти	2	5
276	одно из	2	5
277	от этого	2	5
278	сочетается с	2	5
279	рабле не	3	5
280	они не	5	5
281	с другими	3	5
282	искусстве и	2	5
283	тела и	14	5
284	но здесь	3	5
285	что все	4	5
286	здесь же	4	5
287	там где	10	5
288	что они	3	5
289	тела в	11	5
290	третьей книги	4	5
291	всего этого	3	5
292	в этой	13	5
293	и они	2	5
294	и от	6	5
295	числе и	3	5
296	хотя бы	2	5
297	бы он	2	5
298	почти вовсе	2	5
299	в своей	6	5
300	по преимуществу	2	5
301	об этом	5	5
302	тем что	3	5
303	эпохи возрождения	2	5
304	чувствует себя	2	5
305	чем не	3	5
306	но они	6	5
307	почти все	6	5
308	в средние	2	5
309	первый план	3	5
310	конечно и	4	5
311	не имеет	4	5
312	далеко не	6	5
313	вообще не	3	5
314	да и	2	5
315	он может	2	5
316	романа но	2	5
317	но на	3	5
318	здесь дается	3	5
319	характер носит	3	5
320	или в	3	5
321	и только	2	5
322	нового времени	6	5
323	как его	2	5
324	той же	6	5
325	мы будем	2	5
326	даже в	5	4
327	перед нами	6	4
328	так в	3	4
329	труда и	3	4
330	от него	2	4
331	в одной	3	4
332	важное значение	2	4
333	в другом	4	4
334	и т.д	2	4
335	и при	2	4
336	весь мир	10	4
337	что он	7	4
338	и о	8	4
339	между этими	3	4
340	как он	3	4
341	оно было	2	4
342	iii гл	4	4
343	жизни на	2	4
344	как у	2	4
345	в одно	2	4
346	в один	2	4
347	века и	2	4
348	они были	2	4
349	дело идет	3	4
350	большую роль	2	4
351	в чем	6	4
352	что не	4	4
353	другой стороны	2	4
354	на его	2	4
355	формы и	2	4
356	всего романа	2	4
357	для них	2	4
358	жизни она	2	4
359	а затем	7	4
360	связаны с	8	4
361	он был	8	4
362	мы сказали	2	4
363	из самых	3	4
364	в корне	2	4
365	в xvii	3	4
366	с жизнью	4	4
367	в данном	4	4
368	включает в	2	4
369	тем более	3	4
370	к концу	2	4
371	борьба с	3	4
372	неразрывно связаны	2	4
373	и смерти	2	4
374	и образ	3	4
375	и вот	4	4
376	эпизоде с	5	4
377	веселый и	2	4
378	у нас	3	4
379	в фольклоре	3	4
380	по всему	2	4
381	образ смерти	2	4
382	же и	2	4
383	или на	2	4
384	связан с	2	4
385	средние века	2	4
386	раз в	2	4
387	мир и	5	4
388	отчасти и	2	4
389	для рабле	5	4
390	момент в	2	4
391	несмотря на	3	4
392	телесной жизни	8	4
393	кн iii	4	4
394	это и	10	4
395	гаргантюа и	4	4
396	же самое	3	4
397	в нашем	3	4
398	в лице	2	4
399	на площади	3	4
400	нет ни	2	3
401	еще и	6	3
402	и отчасти	3	3
403	таковы основные	3	3
404	но мы	3	3
405	образов и	8	3
406	том как	2	3
407	в сферу	2	3
408	вплоть до	2	3
409	на рабле	4	3
410	не будем	3	3
411	до известной	4	3
412	ни с	2	3
413	что здесь	3	3
414	времени с	2	3
415	в новом	3	3
416	он хочет	3	3
417	труд и	2	3
418	всеми его	2	3
419	всякого рода	3	3
420	точку зрения	3	3
421	как это	5	3
422	вино и	3	3
423	самого начала	3	3
424	и были	3	3
425	нем не	4	3
426	почти всегда	3	3
427	но оно	4	3
428	вступают в	2	3
429	вещами и	2	3
430	что на	3	3
431	но это	10	3
432	не столько	5	3
433	во франции	6	3
434	в образах	9	3
435	на землю	2	3
436	же как	4	3
437	и самый	3	3
438	на этом	7	3
439	и вино	3	3
440	смеха и	3	3
441	конечно в	4	3
442	известной степени	4	3
443	с самого	3	3
444	пор еще	2	3
445	здесь только	5	3
446	литературы и	3	3
447	очень часто	4	3
448	но она	5	3
449	все то	6	3
450	бы в	5	3
451	брат жан	8	3
452	все время	3	3
453	эти особенности	2	3
454	другом месте	3	3
455	существенную роль	9	3
456	происходит в	3	3
457	бы и	2	3
458	от целого	2	3
459	дело в	5	3
460	менее всего	4	3
461	это было	4	3
462	к ней	2	3
463	в значительной	2	3
464	и здесь	6	3
465	целый ряд	2	3
466	народа в	2	3
467	между вещами	2	3
468	вовсе нет	2	3
469	бы не	2	3
470	в заключение	3	3
471	в гротескном	12	3
472	на земле	2	3
473	как на	6	3
474	его и	2	3
475	этот образ	5	3
476	свое значение	2	3
477	в течение	3	3
478	этих образов	11	3
479	нас в	4	3
480	по своему	5	3
481	дело здесь	3	3
482	можно говорить	2	3
483	от всех	6	3
484	можно сказать	4	3
485	если мы	3	3
486	связь с	3	3
487	находится в	2	3
488	у всех	2	3
489	дается в	4	3
490	и есть	5	3
491	веков и	2	3
492	мы говорили	2	3
493	романе не	2	3
494	и внутреннее	3	3
495	не мог	8	3
496	находим в	3	2
497	играют в	4	2
498	данном случае	4	2
499	начиная с	2	2
500	самим собой	2	2
501	в плане	5	2
502	этой жизни	3	2
503	внешнее и	2	2
504	особенности в	2	2
505	для всего	3	2
506	и поэтому	2	2
507	если в	3	2
508	в духе	4	2
509	миром и	2	2
