N	3gram	Tiupa_Anal	VeschiIm
1	не может быть	2	24
2	тем не менее	3	11
3	по крайней мере	5	10
4	в том что	12	9
5	сама по себе	3	7
6	с точки зрения	2	6
7	так или иначе	5	6
8	в то же	7	5
9	подобно тому как	3	5
10	не только в	5	5
11	в свою очередь	7	5
12	и то что	2	5
13	не только не	3	4
14	сам по себе	2	4
15	о том что	7	4
16	дело в том	3	4
17	то же время	7	4
18	можно сказать что	2	3
19	с одной стороны	3	3
20	с другой стороны	7	3
21	во всяком случае	6	2
22	в основе своей	2	2
23	в этом отношении	3	2
24	том что он	2	2
25	имеем дело не	2	2
26	в данном случае	11	2
27	по природе своей	3	2
28	мы имеем дело	4	2
29	крайней мере в	2	2
30	не только к	2	2
31	в свое время	4	2
32	в той или	2	2
33	в том чтобы	2	2
