N	2gram	Losev_Vlad	Morfolog
1	и т	3	62
2	может быть	12	61
3	т д	3	60
4	таким образом	6	26
5	так как	11	20
6	мы имеем	2	19
7	не может	12	19
8	в этом	30	18
9	в этих	5	17
10	и в	56	17
11	и не	33	16
12	с этим	3	14
13	прежде всего	5	14
14	по существу	4	13
15	связи с	7	12
16	а не	5	11
17	заметить что	2	11
18	мы увидим	4	10
19	то же	10	10
20	в том	26	10
21	то что	30	10
22	так и	11	10
23	что в	24	10
24	что и	6	10
25	в связи	9	10
26	все же	11	9
27	но и	26	9
28	с другой	3	9
29	не только	35	8
30	в тех	3	8
31	в результате	6	8
32	но не	5	8
33	а в	20	8
34	мы не	2	8
35	в качестве	7	8
36	как мы	17	8
37	не могут	2	7
38	том что	22	7
39	тем не	8	7
40	не менее	9	7
41	как это	11	7
42	а также	12	7
43	и здесь	3	7
44	точки зрения	4	7
45	один из	4	7
46	потому что	16	7
47	очень часто	2	6
48	это не	3	6
49	но это	6	6
50	во всех	4	6
51	и как	7	6
52	во время	4	6
53	и другие	2	6
54	увидим ниже	5	6
55	также и	13	6
56	в нашем	5	6
57	о том	13	6
58	как бы	5	6
59	вовсе не	8	6
60	ничего не	4	5
61	хотя бы	5	5
62	не будем	3	5
63	было бы	7	5
64	об этом	13	5
65	то мы	3	5
66	со стороны	5	5
67	что он	22	5
68	как в	6	5
69	то это	4	5
70	к тому	5	5
71	в целом	3	5
72	видно что	5	5
73	главным образом	5	5
74	другой стороны	3	5
75	на его	7	5
76	и затем	2	5
77	все эти	6	5
78	что они	4	5
79	он не	13	5
80	хотя и	9	5
81	учение о	2	5
82	этот момент	2	5
83	ясно что	2	5
84	сказать что	14	4
85	его в	3	4
86	тех же	3	4
87	три года	2	4
88	так же	4	4
89	в то	15	4
90	к этому	11	4
91	на него	3	4
92	тем что	2	4
93	еще не	2	4
94	из них	3	4
95	но в	19	4
96	на котором	2	4
97	но все	3	4
98	что его	8	4
99	и для	4	4
100	как и	7	4
101	уже не	6	4
102	и к	10	4
103	на этом	3	4
104	несмотря на	7	4
105	того чтобы	4	4
106	с теми	2	4
107	о его	7	4
108	от того	2	4
109	мы уже	8	4
110	то в	6	3
111	время как	3	3
112	мы должны	3	3
113	но как	6	3
114	здесь не	6	3
115	в настоящее	2	3
116	в которой	8	3
117	то ни	2	3
118	это было	9	3
119	даже не	3	3
120	что это	2	3
121	и у	4	3
122	друг друга	3	3
123	только что	2	3
124	если бы	2	3
125	в виде	4	3
126	это и	2	3
127	на первый	4	3
128	есть нечто	2	3
129	кроме того	12	3
130	и тем	2	3
131	сам он	2	3
132	не в	12	3
133	для того	4	3
134	и при	2	3
135	с этой	4	3
136	у нас	11	3
137	к ней	7	3
138	того что	6	3
139	здесь мы	4	3
140	так например	3	3
141	как уже	2	3
142	к нему	6	3
143	на то	7	3
144	а то	2	3
145	ни в	4	3
146	что такое	3	3
147	если это	2	3
148	с того	2	3
149	но мы	3	3
150	а по	3	3
151	настоящее время	2	3
152	совсем не	7	3
153	в начале	7	3
154	и что	11	3
155	то время	6	3
156	и по	10	3
157	же в	3	3
158	и его	12	3
159	только в	11	3
160	в сущности	2	3
161	и есть	2	3
162	в этой	4	3
163	мы будем	4	3
164	бы то	2	3
165	с его	15	3
166	в каком	3	2
167	в очень	5	2
168	в доме	7	2
169	себя в	6	2
170	в каких	2	2
171	в россии	7	2
172	мы пока	2	2
173	из этих	5	2
174	от него	3	2
175	дело не	3	2
176	во второй	3	2
177	ответ на	2	2
178	иное как	2	2
179	не что	2	2
180	к себе	2	2
181	и даже	23	2
182	и тот	2	2
183	или менее	5	2
184	что она	2	2
185	этом отношении	2	2
186	в частности	4	2
187	одним из	3	2
188	этого не	2	2
189	и за	3	2
190	его и	2	2
191	ни к	2	2
192	что иное	2	2
193	на вопрос	2	2
194	в чем	4	2
195	ниже в	2	2
196	например с	2	2
197	в свое	6	2
198	но вот	4	2
199	а с	5	2
200	одной из	2	2
201	не по	2	2
202	на этот	9	2
203	с тем	4	2
204	сказать о	2	2
205	в самых	2	2
206	не имеет	2	2
207	в в	4	2
208	во сне	2	2
209	она не	3	2
210	более или	5	2
211	их в	3	2
212	в своих	7	2
213	а а	7	2
214	для нас	9	2
215	очень много	2	2
216	что мы	2	2
217	это можно	3	2
218	что же	11	2
219	точно так	2	2
220	что этот	4	2
221	всяком случае	8	2
222	и больше	3	2
223	то как	2	2
224	все это	7	2
225	у него	28	2
226	как будто	2	2
227	можно сказать	10	2
228	из его	6	2
229	это мы	5	2
230	для него	16	2
231	в одном	2	2
232	во всяком	8	2
233	без всякого	2	2
234	по своему	5	2
235	того как	2	2
236	чем в	2	2
