N	2gram	Tiupa_Anal	VeschiIm
1	т е	2	81
2	не есть	6	79
3	и не	14	57
4	не только	40	48
5	то что	5	48
6	не может	3	46
7	и в	36	45
8	может быть	19	39
9	а не	16	37
10	было бы	6	24
11	в себе	7	23
12	что она	3	23
13	по себе	6	23
14	только в	9	23
15	сказать что	2	22
16	и что	2	22
17	в имени	3	21
18	как бы	14	20
19	и ее	3	19
20	с нею	2	19
21	но и	26	19
22	все же	6	18
23	в этом	19	18
24	есть не	2	17
25	прежде всего	7	17
26	имени и	2	17
27	что мы	2	17
28	того что	4	16
29	таким образом	4	16
30	как раз	8	16
31	от всего	2	15
32	в том	16	15
33	как и	27	15
34	в ней	2	15
35	уже не	9	15
36	не в	9	14
37	и то	2	14
38	но это	3	14
39	том что	19	13
40	а и	4	13
41	это и	4	13
42	не будет	3	13
43	и для	4	13
44	в самом	7	13
45	в себя	6	13
46	ничего не	3	12
47	совершенно не	3	12
48	что в	15	12
49	точки зрения	3	12
50	что и	10	12
51	что они	3	12
52	и как	5	12
53	то же	7	12
54	еще не	7	12
55	и даже	12	12
56	о том	9	12
57	еще и	4	11
58	в то	8	11
59	не менее	9	11
60	что не	3	11
61	вовсе не	2	11
62	себя в	6	11
63	тем не	3	11
64	и их	3	11
65	крайней мере	5	10
66	в чем	2	10
67	с ее	3	10
68	по крайней	5	10
69	это не	4	9
70	со стороны	12	9
71	так что	2	9
72	в своем	7	9
73	она не	3	9
74	бы и	2	9
75	в результате	6	9
76	я и	6	9
77	но не	13	9
78	говорить о	6	9
79	и его	18	9
80	с ним	2	9
81	в отношении	2	8
82	его в	4	8
83	и потому	3	8
84	указывает на	3	8
85	что он	5	8
86	но в	8	8
87	в ее	5	8
88	мы не	4	8
89	себя и	2	8
90	все это	5	8
91	можно сказать	5	8
92	мы имеем	5	8
93	если бы	2	8
94	с тем	2	8
95	для него	8	8
96	не с	3	8
97	с другой	10	8
98	со своим	2	8
99	отнюдь не	7	8
100	в действительности	2	7
101	и тем	3	7
102	из них	4	7
103	самом деле	2	7
104	а в	17	7
105	все эти	2	7
106	в сущности	5	7
107	я не	3	7
108	сама по	3	7
109	тем что	3	7
110	оно не	2	7
111	мог бы	3	7
112	никогда не	7	6
113	для себя	2	6
114	когда мы	2	6
115	ведь и	2	6
116	и все	3	6
117	так или	5	6
118	в нем	3	6
119	между ними	3	6
120	и до	2	6
121	в своей	12	6
122	как мы	4	6
123	одна из	6	6
124	в данном	12	6
125	можно было	2	6
126	дело в	3	6
127	на почве	3	6
128	или иначе	5	6
129	несмотря на	2	6
130	в той	3	6
131	жизни и	2	6
132	с точки	2	6
133	в одном	4	6
134	и если	2	5
135	да и	3	5
136	как к	2	5
137	свою очередь	7	5
138	вместе с	3	5
139	как это	7	5
140	того же	7	5
141	и без	3	5
142	один из	6	5
143	на себя	5	5
144	в его	12	5
145	хотя и	4	5
146	во всех	4	5
147	об этом	3	5
148	и здесь	4	5
149	как о	3	5
150	в жизни	2	5
151	подобно тому	4	5
152	что у	3	5
153	от всех	2	5
154	все что	2	5
155	в свою	9	5
156	только не	3	5
157	тому как	3	5
158	есть имя	2	4
159	в силу	2	4
160	в конце	6	4
161	отношение к	2	4
162	в их	7	4
163	так и	19	4
164	в отдельности	2	4
165	в этой	10	4
166	не предполагает	2	4
167	в качестве	22	4
168	не было	3	4
169	тот же	3	4
170	во всяком	6	4
171	с ними	2	4
172	в основе	2	4
173	и от	3	4
174	то в	4	4
175	с этим	4	4
176	есть в	2	4
177	дело не	3	4
178	с самим	3	4
179	мы можем	2	4
180	в особенности	4	4
181	и вот	2	4
182	по своей	5	4
183	на этом	2	4
184	сводится к	5	4
185	говорит о	3	4
186	сам по	2	4
187	же время	7	4
188	он не	9	4
189	и сам	8	4
190	о которой	2	4
191	однако не	2	4
192	от его	2	3
193	перед нами	7	3
194	к одному	2	3
195	а вот	3	3
196	но как	4	3
197	не является	5	3
198	человека и	2	3
199	вопроса о	2	3
200	в другом	3	3
201	и а	4	3
202	к ее	2	3
203	казалось бы	4	3
204	в частности	19	3
205	а с	2	3
206	к тому	10	3
207	одной стороны	3	3
208	другой стороны	7	3
209	в целом	8	3
210	тогда как	37	3
211	той или	6	3
212	и может	2	3
213	все еще	2	3
214	могла бы	3	3
215	тем более	3	3
216	на меня	3	3
217	превращается в	3	3
218	жизни в	4	3
219	как в	9	3
220	ни к	3	3
221	с одной	3	3
222	не мог	4	3
223	у него	2	3
224	в своих	3	3
225	я в	15	3
226	из которых	2	3
227	однако в	6	3
228	у всех	2	3
229	или в	4	3
230	отношения к	6	3
231	а тем	2	3
232	этих двух	2	3
233	имеем дело	4	3
234	мы уже	2	3
235	не о	2	2
236	данном случае	11	2
237	свое время	4	2
238	тем самым	8	2
239	о чем	5	2
240	в полной	3	2
241	со мною	2	2
242	здесь как	2	2
243	не как	3	2
244	то есть	15	2
245	едва ли	6	2
246	в одно	2	2
247	и прежде	2	2
248	очевидно что	2	2
249	но эта	2	2
250	в свое	4	2
251	на две	3	2
252	мере в	2	2
253	одно из	3	2
254	не так	2	2
255	себя не	2	2
256	гораздо более	3	2
257	уже в	5	2
258	по природе	3	2
259	нам не	2	2
260	так в	4	2
261	что на	3	2
262	всяком случае	6	2
263	а а	5	2
264	не столько	4	2
265	нуждается в	2	2
266	тем или	2	2
267	а затем	2	2
268	в первом	2	2
269	в первой	10	2
270	в состоянии	2	2
271	но зато	2	2
272	в одну	3	2
273	к его	2	2
274	миф и	2	2
275	а также	5	2
276	я уже	2	2
277	здесь не	8	2
278	в начале	10	2
279	его как	3	2
280	только к	2	2
281	к этому	3	2
282	о котором	2	2
283	по преимуществу	3	2
284	это было	2	2
285	но лишь	2	2
286	исходит из	2	2
287	природе своей	4	2
288	человека в	3	2
289	этом отношении	3	2
290	одного из	4	2
291	но они	2	2
292	обе эти	2	2
293	жизнь и	3	2
294	самим собою	3	2
295	том чтобы	2	2
296	из наиболее	3	2
297	не случайно	13	2
298	далеко не	8	2
299	ними в	2	2
300	поэтому в	2	2
301	именно в	4	2
302	в слове	5	2
303	слова в	2	2
304	когда он	2	2
305	другое дело	2	2
306	и к	7	2
307	приводит к	5	2
308	что между	2	2
309	к чему	2	2
310	о которых	2	2
311	он и	4	2
312	и на	5	2
313	ближе к	2	2
314	и того	4	2
315	он сам	2	2
316	во всем	5	2
317	один и	2	2
