N	2gram	Vygotskiy_	VerxiiNi
1	и в	33	26
2	таким образом	30	22
3	с тем	9	18
4	в этом	43	15
5	вместе с	9	15
6	точки зрения	27	13
7	как бы	11	12
8	в том	44	11
9	не только	28	10
10	из этих	2	10
11	и с	7	10
12	может быть	15	10
13	что в	33	9
14	так как	20	9
15	в области	19	9
16	связи с	9	9
17	но и	14	9
18	но не	13	8
19	с другой	11	8
20	и не	18	8
21	как на	4	8
22	но все	2	7
23	к нему	4	7
24	потому что	40	7
25	связанные с	6	7
26	одной стороны	10	7
27	из них	6	7
28	то что	48	7
29	с одной	10	7
30	но в	9	7
31	том что	41	7
32	а с	3	7
33	представление о	2	6
34	в отношении	18	6
35	все же	5	6
36	к тому	14	6
37	о том	13	6
38	мы должны	13	6
39	того же	13	6
40	в себе	4	6
41	в конце	3	6
42	несмотря на	3	6
43	всяком случае	2	6
44	что и	11	6
45	с точки	12	6
46	и т.д	6	6
47	все эти	9	6
48	все это	2	6
49	и потому	3	6
50	так и	8	6
51	во всяком	4	6
52	никогда не	10	5
53	одной из	5	5
54	и для	3	5
55	не имеет	7	5
56	так же	22	5
57	том числе	2	5
58	и к	7	5
59	в силу	14	5
60	друг с	10	5
61	отношение к	12	5
62	к жизни	7	5
63	того чтобы	26	5
64	в его	15	5
65	для того	20	5
66	с другом	10	5
67	а не	14	5
68	тому же	3	5
69	образом в	2	5
70	сих пор	3	5
71	до сих	3	5
72	на этот	9	4
73	и от	2	4
74	что все	9	4
75	а в	5	4
76	в котором	2	4
77	в самом	10	4
78	в нем	10	4
79	не может	31	4
80	в смысле	3	4
81	в которых	2	4
82	что оно	9	4
83	из которых	3	4
84	целый ряд	5	4
85	в виде	3	4
86	то же	12	4
87	числе и	2	4
88	должен был	3	4
89	и что	18	4
90	и по	5	4
91	в этих	7	4
92	только в	21	4
93	что он	40	4
94	и только	4	4
95	он не	13	4
96	в этой	8	4
97	в то	5	4
98	учение о	3	4
99	на нее	2	3
100	в своем	11	3
101	с самого	8	3
102	но с	2	3
103	если в	4	3
104	к ним	2	3
105	хотя бы	5	3
106	к этому	7	3
107	в результате	9	3
108	с ней	3	3
109	в которой	8	3
110	представляет собой	11	3
111	и даже	3	3
112	и как	7	3
113	что эти	4	3
114	за собой	4	3
115	если бы	13	3
116	и те	2	3
117	же как	9	3
118	в других	2	3
119	при этом	9	3
120	конце концов	2	3
121	не менее	4	3
122	когда он	3	3
123	в качестве	13	3
124	и при	4	3
125	с этой	8	3
126	в связи	6	3
127	и другие	13	3
128	так что	8	3
129	случае не	2	3
130	ясно что	2	3
131	можно сказать	7	3
132	отношению к	19	3
133	в одном	3	3
134	того что	34	3
135	для него	9	3
136	по своему	4	2
137	мы видели	10	2
138	сказать что	18	2
139	но вместе	3	2
140	которые в	4	2
141	для этого	3	2
142	этой точки	7	2
143	этот факт	3	2
144	всегда на	3	2
145	и является	6	2
146	из этого	3	2
147	по сравнению	9	2
148	общего с	3	2
149	и это	3	2
150	не могут	7	2
151	но при	2	2
152	не должны	2	2
153	на то	6	2
154	для всех	2	2
155	этот путь	2	2
156	относится к	3	2
157	он в	3	2
158	можно только	2	2
159	состоит в	11	2
160	мы имеем	4	2
161	в процессе	37	2
162	мы можем	15	2
163	между этими	3	2
164	в начале	2	2
165	с того	3	2
166	и другой	2	2
167	ему в	2	2
168	больше чем	6	2
169	между тем	5	2
170	одним из	4	2
171	только что	6	2
172	к его	4	2
173	в свою	5	2
174	благодаря этому	2	2
175	не как	3	2
176	выступает в	2	2
177	именно в	8	2
178	отличается от	2	2
179	если не	3	2
180	приводит к	10	2
181	тогда когда	10	2
182	отличаются от	2	2
183	требует от	6	2
184	те и	11	2
185	но если	7	2
186	те же	6	2
187	что мы	11	2
188	в них	3	2
189	только не	7	2
190	и на	11	2
191	и здесь	2	2
192	уже в	4	2
193	еще не	11	2
194	к другу	4	2
195	к которому	7	2
196	по своей	7	2
197	все что	2	2
198	жизни и	2	2
199	что именно	4	2
200	самого начала	8	2
201	к которым	2	2
202	этом отношении	7	2
203	этот период	4	2
204	не в	10	2
205	из него	3	2
206	только для	2	2
207	и наконец	3	2
208	ничего общего	6	2
209	на все	7	2
210	и все	2	2
211	на друга	2	2
212	но когда	2	2
213	один из	4	2
214	в виду	4	2
215	со всеми	2	2
216	сравнению с	9	2
217	друг на	2	2
218	совершенно иной	3	2
219	может ли	2	2
220	прежде всего	5	2
221	бы то	2	2
222	и из	2	2
223	тот же	7	2
224	связана с	2	2
225	с его	3	2
226	этими двумя	3	2
227	во всех	3	2
228	же самое	7	2
229	вслед за	3	2
230	взгляд на	3	2
231	и сами	2	2
232	оно является	4	2
233	тем и	2	2
234	не с	2	2
235	по существу	5	2
