N	2gram	Medvedev_F	Otkroven
1	и в	54	19
2	но и	18	13
3	и не	34	13
4	в этом	39	12
5	не только	14	11
6	не в	16	11
7	а не	11	11
8	может быть	30	11
9	и все	9	10
10	в нем	25	10
11	вопрос о	3	10
12	никогда не	6	9
13	в самой	2	9
14	потому что	2	9
15	не было	7	9
16	прежде всего	34	9
17	человек не	3	7
18	лишь в	15	7
19	в его	30	7
20	до конца	9	7
21	от него	2	7
22	он не	8	7
23	но он	2	7
24	как и	18	6
25	все это	11	6
26	для него	9	5
27	а в	11	5
28	в россии	4	5
29	в том	17	5
30	в самом	17	5
31	то что	14	5
32	в этой	10	5
33	отношение к	4	5
34	и его	27	4
35	что в	10	4
36	только и	7	4
37	есть лишь	3	4
38	того чтобы	4	4
39	все эти	12	4
40	т е	50	4
41	в самую	2	4
42	не может	26	4
43	все в	3	4
44	что не	4	4
45	с его	12	4
46	в себе	4	3
47	и от	9	3
48	это не	4	3
49	к нему	3	3
50	не могут	8	3
51	что он	8	3
52	и вот	2	3
53	как художник	2	3
54	было бы	10	3
55	для того	3	3
56	еще не	6	3
57	в этих	3	3
58	в своих	3	3
59	когда он	3	3
60	и ее	15	3
61	никто не	2	3
62	как бы	10	3
63	хотя бы	10	3
64	могут быть	7	3
65	это было	3	3
66	с ним	3	3
67	того что	7	3
68	как к	5	2
69	сказать что	3	2
70	и на	10	2
71	с тем	11	2
72	что же	6	2
73	и для	5	2
74	совсем не	2	2
75	из всего	2	2
76	не имеет	2	2
77	не могли	2	2
78	ничего не	5	2
79	и с	17	2
80	что и	10	2
81	ее в	3	2
82	и потому	9	2
83	и ни	2	2
84	в ее	10	2
85	в других	5	2
86	в своем	12	2
87	и этим	2	2
88	тем что	6	2
89	но в	9	2
90	том что	3	2
91	к этой	4	2
92	что для	3	2
93	все же	8	2
94	ко всем	2	2
95	жизни в	2	2
96	в своей	16	2
97	он в	3	2
98	так как	4	2
99	по себе	10	2
100	же это	2	2
101	должен был	3	2
102	что они	4	2
103	в истории	10	2
104	так что	2	2
105	даже и	5	2
106	для всякого	2	2
107	должно быть	13	2
108	и о	3	2
109	не есть	4	2
110	в душе	2	2
111	к этому	3	2
112	и к	7	2
113	так и	24	2
114	в которой	5	2
115	к ней	3	2
116	хотя и	3	2
117	его не	2	2
118	всего в	5	2
119	в единстве	8	2
120	учение о	4	2
121	в другом	2	2
122	в этот	2	2
123	на западе	4	2
124	подойти к	3	2
125	его в	5	2
