N	3gram	Tiupa_Anal	VLabPisa
1	в этом отношении	5	14
2	и т п	3	9
3	с другой стороны	2	8
4	не может быть	17	8
5	по отношению к	9	7
6	более или менее	2	6
7	в конечном счете	5	5
8	в то же	9	5
9	в том что	13	5
10	то же время	7	5
11	к тому что	2	4
12	в связи с	2	4
13	не могут быть	2	4
14	не удивительно что	2	3
15	подобно тому как	5	3
16	большей или меньшей	4	3
17	для того чтобы	3	3
18	о том что	8	3
19	по крайней мере	4	2
20	в результате чего	2	2
21	с одной стороны	6	2
22	в частности в	2	2
23	не только не	2	2
24	в том числе	3	2
25	этой точки зрения	2	2
26	и не может	4	2
27	не только в	3	2
28	следует понимать как	2	2
29	не в том	3	2
30	в том чтобы	7	2
