N	3gram	Potebnia_M	Hudozhes
1	по отношению к	13	10
2	в том что	18	8
3	в то же	3	7
4	то же время	3	7
5	с другой стороны	7	6
6	более или менее	6	6
7	для того чтобы	4	5
8	не может быть	11	4
9	с точки зрения	3	3
10	с одной стороны	6	3
11	тем не менее	10	3
12	подобно тому как	7	3
13	в этом смысле	4	3
14	в связи с	2	3
15	и того же	6	3
16	одного и того	6	3
17	бы то ни	2	2
18	в противном случае	3	2
19	может быть названо	5	2
20	в том и	2	2
21	в таком случае	4	2
22	к тому что	2	2
23	с этой точки	2	2
24	сама по себе	4	2
25	в свою очередь	8	2
