N	3gram	Vygotskiy_	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	6	7
3	с точки зрения	12	6
4	во всяком случае	7	6
5	для того чтобы	11	5
6	до сих пор	8	5
7	более или менее	3	5
8	о том что	9	4
9	с тем чтобы	2	4
10	в конце концов	6	3
11	так же как	8	3
12	точно так же	6	3
13	и таким образом	4	3
14	тем не менее	6	3
15	в том что	21	3
16	в связи с	2	3
17	бы то ни	2	2
18	можно сказать что	2	2
19	на то что	12	2
20	заключает в себе	3	2
21	то же самое	8	2
22	то или иное	2	2
23	таким образом в	2	2
24	в то же	2	2
25	в том виде	2	2
26	то же время	2	2
27	этой точки зрения	7	2
28	с этой точки	5	2
29	в этом отношении	7	2
30	по сравнению с	3	2
