N	3gram	Voloshinov	DiskursI
1	в том что	9	28
2	в отличие от	7	26
3	по отношению к	9	17
4	с одной стороны	2	14
5	не может быть	23	12
6	той или иной	5	10
7	то же время	7	10
8	о том что	2	9
9	в то же	7	8
10	в этом отношении	4	8
11	так и в	2	6
12	с точки зрения	31	6
13	к тому же	2	6
14	но при этом	2	5
15	то же самое	8	5
16	в значительной степени	3	5
17	не только в	2	5
18	с другой стороны	6	5
19	в свою очередь	5	5
20	и прежде всего	4	4
21	до известной степени	2	4
22	тем не менее	3	4
23	тот или иной	2	4
24	одного и того	9	4
25	можно сказать что	4	4
26	в этом случае	3	4
27	и не может	11	4
28	и того же	9	4
29	одно и то	3	3
30	и то же	3	3
31	более или менее	3	3
32	в том числе	3	3
33	а не в	3	3
34	том числе и	3	3
35	во всяком случае	4	3
36	того или иного	2	3
37	то ни было	11	2
38	речевого общения в	2	2
39	бы то ни	11	2
40	и той же	2	2
41	как мы видели	4	2
42	и тем же	2	2
43	до настоящего времени	7	2
44	в большинстве случаев	7	2
45	но и в	3	2
46	с самого начала	9	2
47	одной и той	2	2
48	одним и тем	2	2
49	в науке о	3	2
50	как и все	2	2
