N	3gram	Vinokur_Ku	RusskieA
1	в том что	23	49
2	состоит в том	4	29
3	и т д	21	21
4	тем не менее	9	14
5	в этом случае	4	12
6	вместе с тем	3	11
7	о том что	6	10
8	в том чтобы	9	9
9	для того чтобы	21	8
10	в настоящее время	2	7
11	т е в	3	7
12	не может быть	5	6
13	после того как	2	6
14	так же как	3	6
15	в связи с	4	5
16	к тому что	2	5
17	не что иное	2	4
18	во всяком случае	8	4
19	можно было бы	11	4
20	только тогда когда	2	4
21	что иное как	2	4
22	в отличие от	3	4
23	и потому что	4	3
24	более или менее	3	3
25	по отношению к	8	3
26	с точки зрения	16	3
27	и в том	2	3
28	до сих пор	5	3
29	на то что	3	3
30	в свою очередь	4	3
31	на самом деле	3	2
32	тех случаях когда	2	2
33	в тех случаях	2	2
34	можно сказать что	2	2
35	в этом отношении	8	2
36	в большинстве случаев	2	2
37	о том как	3	2
38	т д и	3	2
39	не только в	4	2
40	ничего общего с	2	2
41	с одной стороны	2	2
42	т е как	5	2
43	дело не в	3	2
44	мы увидим что	2	2
45	может быть только	2	2
46	и т п	39	2
47	с другой стороны	12	2
48	но все же	3	2
49	е как бы	2	2
