N	3gram	Tiupa_Vved	FransuaR
1	в то же	5	55
2	то же время	4	55
3	в том что	10	27
4	в этом отношении	7	20
5	о том что	6	17
6	как мы видели	3	16
7	но и в	3	15
8	на самом деле	4	13
9	не может быть	6	13
10	с одной стороны	9	13
11	а также и	2	12
12	с другой стороны	2	12
13	в отличие от	11	11
14	той или иной	4	10
15	в данном случае	15	10
16	как и в	2	10
17	не только в	3	10
18	в значительной степени	2	10
19	по отношению к	11	9
20	более или менее	2	8
21	можно было бы	2	7
22	в самом деле	2	7
23	подобно тому как	3	7
24	к тому же	6	6
25	в свою очередь	5	6
26	во всяком случае	3	5
27	то же самое	2	5
28	как бы в	2	5
29	в основе своей	2	5
30	одной стороны и	3	5
31	начало и конец	2	4
32	прежде всего на	2	4
33	это своего рода	3	3
34	так и не	4	3
35	и т.п и	2	3
36	не входит в	2	3
37	а с другой	3	3
38	друг от друга	2	3
39	в своем роде	2	2
40	по своей природе	2	2
41	в конечном счете	2	2
42	но при этом	3	2
43	в том чтобы	2	2
