N	3gram	Vinokur_Vv	Problemy
1	то же время	6	26
2	в то же	6	26
3	с точки зрения	4	25
4	по отношению к	4	18
5	и т п	5	18
6	в этом смысле	10	16
7	не может быть	10	14
8	но в то	3	11
9	в конце концов	2	11
10	до сих пор	7	10
11	в самом деле	6	9
12	во всяком случае	5	9
13	с другой стороны	5	9
14	в том что	15	8
15	сама по себе	3	7
16	и в этом	4	7
17	и т д	39	7
18	в отличие от	4	6
19	по крайней мере	4	5
20	той или иной	3	5
21	сам по себе	2	5
22	подобно тому как	2	5
23	в зависимости от	3	5
24	хотя бы и	2	5
25	можно было бы	4	5
26	но все же	4	5
27	тем не менее	9	4
28	может быть и	2	4
29	о том что	13	4
30	само по себе	4	4
31	а между тем	2	4
32	в этом отношении	4	4
33	смысле этого слова	2	4
34	что может быть	3	4
35	что в нем	2	4
36	и то же	2	3
37	как мы видели	3	3
38	большей или меньшей	3	3
39	в данном случае	4	3
40	как мы уже	2	3
41	одно и то	2	3
42	и в самом	3	3
43	на этот вопрос	5	3
44	т е в	4	3
45	в этом случае	6	3
46	можно сказать что	3	3
47	то же самое	3	2
48	этой точки зрения	2	2
49	т е не	2	2
50	и в том	4	2
51	всяком случае не	2	2
52	что же касается	2	2
53	не только в	4	2
54	здесь не место	2	2
55	а так как	2	2
56	вместе с тем	3	2
57	дело в том	3	2
58	для того чтобы	22	2
59	как будто бы	2	2
60	в том или	2	2
61	в целом ряде	2	2
62	в свою очередь	2	2
63	в этих случаях	2	2
