N	3gram	Tiupa_Hudo	Freidism
1	с точки зрения	3	15
2	не может быть	4	14
3	по отношению к	10	11
4	в самом деле	2	10
5	в том что	8	9
6	и прежде всего	2	7
7	в то же	7	6
8	может быть и	2	6
9	то же время	7	6
10	можно сказать что	3	5
11	в таком случае	2	4
12	тем не менее	3	4
13	во внешнем мире	2	4
14	в свою очередь	2	4
15	внутренней и внешней	2	3
16	бы то ни	2	3
17	для того чтобы	5	3
18	в конечном счете	5	3
19	то ни было	2	2
20	а с другой	2	2
21	том что он	2	2
22	к тому что	2	2
23	в отличие от	7	2
24	с одной стороны	3	2
25	в этом смысле	3	2
