N	3gram	Tiupa_Vved	Problemy
1	то же время	4	26
2	в то же	5	26
3	по отношению к	11	18
4	на самом деле	4	15
5	не может быть	6	14
6	в самом деле	2	9
7	во всяком случае	3	9
8	с другой стороны	2	9
9	в том что	10	8
10	как бы в	2	7
11	не входит в	2	6
12	в отличие от	11	6
13	той или иной	4	5
14	к тому же	6	5
15	подобно тому как	3	5
16	можно было бы	2	5
17	в высшей степени	2	5
18	тем не менее	3	4
19	более или менее	2	4
20	о том что	6	4
21	как и в	2	4
22	как и у	2	4
23	в этом отношении	7	4
24	хотя и не	2	4
25	друг на друга	2	4
26	но при этом	3	3
27	как мы видели	3	3
28	в данном случае	15	3
29	на то что	2	3
30	то же самое	2	2
31	не столько в	2	2
32	что же касается	2	2
33	на этот раз	2	2
34	друг от друга	2	2
35	не только в	3	2
36	в значительной степени	2	2
37	как будто бы	3	2
38	в свою очередь	5	2
39	в этих случаях	2	2
