N	3gram	Propp_Isto	Dialekti
1	и т д	25	75
2	это значит что	2	47
3	в том что	7	25
4	не может быть	5	18
5	тем не менее	4	16
6	о том что	9	12
7	с другой стороны	17	12
8	т е в	2	10
9	в то время	4	8
10	то время как	4	8
11	то это значит	2	7
12	точно так же	2	7
13	так или иначе	2	7
14	более или менее	3	6
15	во всяком случае	3	6
16	в зависимости от	3	6
17	с одной стороны	11	6
18	то и другое	2	5
19	до сих пор	4	5
20	мы уже знаем	5	4
21	и то и	2	4
22	так же как	4	4
23	но это не	3	4
24	в данном случае	7	4
25	этой точки зрения	3	4
26	с этой точки	3	4
27	что это не	2	4
28	т д но	2	4
29	можно было бы	3	4
30	с этой стороны	4	3
31	лежит в основе	2	3
32	как и в	3	3
33	в мифе о	3	3
34	не только в	9	3
35	т д в	3	3
36	о том как	3	3
37	то же что	2	3
38	но все же	3	3
39	но так как	4	2
40	мы не можем	2	2
41	но мы уже	3	2
42	дело не в	3	2
43	уже знаем что	4	2
44	же можно сказать	3	2
45	на первый взгляд	5	2
46	том что в	2	2
47	мы видим что	4	2
48	что и в	3	2
49	так как он	4	2
50	так как это	3	2
51	и вместе с	3	2
