N	2gram	Potebnia_M	Dialekti
1	не есть	24	181
2	и не	28	120
3	и т	12	82
4	по себе	26	79
5	а не	22	78
6	и в	48	77
7	т д	5	75
8	точки зрения	4	72
9	может быть	46	71
10	не только	32	66
11	значит что	2	61
12	то что	37	59
13	и есть	4	55
14	не может	18	53
15	и даже	3	47
16	так как	20	46
17	с точки	3	46
18	есть нечто	6	46
19	что это	6	46
20	потому что	82	45
21	стало быть	4	44
22	как бы	10	43
23	ни в	2	42
24	и что	13	42
25	не имеет	10	41
26	вовсе не	13	41
27	в том	47	40
28	что такое	2	39
29	в этом	19	39
30	то же	35	39
31	в себе	26	38
32	что она	4	38
33	том что	28	37
34	что он	8	37
35	прежде всего	6	37
36	это не	2	36
37	так что	14	36
38	она есть	2	35
39	что в	30	34
40	в нем	16	34
41	и все	5	33
42	того что	24	33
43	но и	30	32
44	все это	4	31
45	и как	8	30
46	сказать что	8	30
47	так и	17	29
48	было бы	16	29
49	как и	22	28
50	никогда не	2	27
51	крайней мере	8	26
52	по крайней	8	26
53	не в	24	26
54	есть и	3	26
55	сама по	3	26
56	есть только	9	25
57	есть не	9	25
58	и то	13	25
59	говорить о	6	25
60	если бы	20	24
61	есть ни	4	24
62	но это	9	24
63	в то	16	23
64	это и	2	23
65	что оно	12	23
66	таким образом	24	23
67	или от	4	22
68	но что	4	22
69	она не	4	21
70	что не	12	21
71	должна быть	2	21
72	в чем	6	21
73	в каком	8	20
74	только тогда	13	20
75	что все	5	20
76	только в	29	20
77	и вообще	4	20
78	что и	16	20
79	о том	7	20
80	уже не	11	20
81	и с	4	20
82	в таком	6	20
83	и притом	3	19
84	в своем	6	19
85	что мы	16	19
86	не менее	9	19
87	и это	6	19
88	тогда когда	20	19
89	в самом	11	19
90	не существует	5	19
91	и его	4	19
92	что же	3	18
93	с другой	8	18
94	хотя бы	3	18
95	же время	8	18
96	жизни и	3	18
97	но если	2	17
98	в сущности	3	17
99	можно сказать	4	17
100	должно быть	9	17
101	другими словами	3	16
102	в своей	2	16
103	мы не	17	16
104	нет ничего	2	16
105	только не	5	16
106	сам по	9	16
107	или не	3	16
108	к нему	7	16
109	да и	2	16
110	одно и	7	16
111	то это	9	16
112	об этом	4	16
113	тем не	7	16
114	само по	6	16
115	конечно не	2	16
116	и о	6	15
117	сознания и	2	15
118	только что	12	15
119	но только	3	15
120	все же	3	15
121	так же	6	15
122	в виде	3	15
123	самом деле	5	15
124	хотя и	3	15
125	и мы	3	15
126	же и	3	15
127	на то	6	15
128	несмотря на	2	15
129	мы уже	5	15
130	и потому	9	14
131	таком случае	2	14
132	с ним	10	14
133	есть то	3	14
134	не было	12	14
135	и только	5	14
136	ни о	3	13
137	и следовательно	3	13
138	в силу	7	13
139	не то	6	13
140	но в	8	13
141	в ней	11	13
142	и та	5	13
143	время как	3	13
144	он не	4	13
145	что именно	5	13
146	собственно говоря	2	13
147	что они	2	13
148	другой стороны	4	13
149	в смысле	4	13
150	и к	5	13
151	вопрос о	2	12
152	могут быть	6	12
153	еще не	9	12
154	не говорит	2	12
155	никак не	3	12
156	все равно	5	12
157	именно в	5	12
158	и если	4	12
159	перед нами	3	12
160	не могут	7	12
161	но как	2	12
162	даже не	2	12
163	а в	14	12
164	тем более	9	12
165	и может	4	12
166	с этим	12	12
167	и тогда	4	12
168	и стало	2	12
169	но не	8	12
