N	2gram	Voloshinov	Vladivir
1	и в	13	116
2	то что	6	71
3	и не	8	67
4	не только	6	65
5	в этом	2	53
6	в том	2	52
7	том что	2	51
8	что в	3	48
9	но и	3	47
10	в его	7	40
11	учение о	2	35
12	еще и	4	32
13	не может	8	31
14	только в	6	30
15	никогда не	3	29
16	для него	2	29
17	вовсе не	2	27
18	а в	2	27
19	но в	4	25
20	в себе	3	25
21	и то	3	25
22	и его	12	25
23	а также	2	24
24	точки зрения	7	23
25	может быть	8	23
26	что же	3	23
27	так как	3	22
28	в своей	4	21
29	прежде всего	9	20
30	так и	3	19
31	не менее	2	19
32	таким образом	6	19
33	в течение	2	19
34	не в	3	18
35	как и	3	18
36	не мог	2	18
37	а не	2	17
38	все же	5	16
39	было бы	4	16
40	к тому	2	16
41	и все	3	16
42	для себя	2	16
43	в связи	2	15
44	несмотря на	2	15
45	то же	4	15
46	в своих	2	15
47	и к	2	15
48	уже в	2	14
49	все эти	2	14
50	мы уже	2	14
51	так же	2	13
52	да и	3	13
53	во всем	2	13
54	в нем	2	12
55	в отношении	2	11
56	мы должны	6	11
57	еще в	2	11
58	при этом	2	11
59	все это	4	11
60	в данном	2	11
61	хотя бы	5	11
62	в которой	3	11
63	собственно говоря	2	10
64	в ней	2	10
65	в самом	2	10
66	с точки	5	10
67	смысле слова	2	9
68	в целом	2	9
69	с этим	3	9
70	с другой	2	9
71	только и	4	8
72	не столько	3	8
73	в чем	2	8
74	как бы	6	8
75	тот же	2	8
76	в этот	2	8
77	тем что	2	8
78	с этой	2	8
79	как в	2	8
80	и для	3	8
81	не имеет	2	7
82	здесь мы	3	7
83	за пределы	3	7
84	если бы	2	7
85	ничего общего	3	7
86	в одном	3	7
87	в них	2	7
88	данном случае	2	6
89	те же	2	6
90	есть не	2	6
91	в общем	2	6
92	его на	2	6
93	другой стороны	2	6
94	и наконец	5	6
95	мы не	4	6
96	но мы	4	5
97	и тем	2	5
98	в их	3	5
99	с самого	2	5
100	что они	2	5
101	в области	2	5
102	ее в	2	5
103	нет ничего	2	5
104	в тех	2	4
105	но для	3	4
106	иное как	2	4
107	не что	2	4
108	мог бы	2	4
109	одной стороны	2	4
110	что иное	2	4
111	кажется что	2	4
112	и эта	5	4
113	мы можем	4	4
114	лишь в	4	4
115	не на	2	4
116	с одной	2	4
117	всей своей	2	4
118	вполне понятно	4	4
119	в книге	2	3
120	и ее	2	3
121	не как	3	3
122	в другом	2	3
123	наконец в	2	3
124	роль в	2	3
125	от своего	2	3
126	и при	2	3
127	самом деле	3	3
128	общего с	3	3
129	тех пор	4	3
130	и др	2	3
131	самого начала	2	3
132	и этот	2	3
133	произведения как	4	3
134	одно и	3	3
135	с ними	2	3
136	бы в	2	3
137	которое мы	2	3
138	только его	2	3
139	думать что	2	3
140	разумеется что	2	3
141	г в	3	3
142	к одному	3	2
143	в действительности	2	2
144	не является	4	2
145	подойти к	2	2
146	в произведении	2	2
147	но так	2	2
148	говорить об	2	2
149	в ее	3	2
150	и может	2	2
151	в двух	4	2
152	в которую	2	2
153	она является	2	2
154	и должно	2	2
155	от этого	2	2
156	до тех	4	2
157	с г	2	2
158	со всей	3	2
159	и их	7	2
160	во всей	2	2
161	и пр	7	2
162	в г	2	2
163	и является	2	2
164	не чем	2	2
165	я хочу	3	2
166	есть прежде	3	2
167	и уже	3	2
168	что эта	2	2
169	говорить о	3	2
170	пор пока	3	2
