N	3gram	Losev_Dial	Myslijsy
1	в том что	12	47
2	не может быть	12	19
3	тем не менее	10	18
4	по крайней мере	10	17
5	только тогда когда	6	17
6	и т д	38	15
7	сам по себе	6	14
8	само по себе	8	14
9	от того что	4	13
10	то же время	3	13
11	в то же	3	13
12	не в том	5	13
13	во всяком случае	3	12
14	с другой стороны	3	12
15	и в этом	4	12
16	подобно тому как	5	11
17	сами по себе	3	11
18	в то время	6	10
19	с одной стороны	3	10
20	то и другое	2	9
21	мы не можем	2	9
22	о том что	6	9
23	на то что	3	9
24	в таком случае	11	9
25	не могут быть	3	9
26	и то же	2	7
27	как и в	3	7
28	одной и той	4	7
29	одно и то	2	7
30	не только не	7	7
31	и той же	4	7
32	с точки зрения	25	7
33	сама по себе	11	7
34	потому что мы	2	7
35	и как бы	2	6
36	то что мы	3	6
37	по себе а	2	5
38	к тому что	2	5
39	в сравнении с	5	5
40	не есть ни	14	4
41	или по крайней	4	4
42	так что в	2	4
43	в данном случае	3	4
44	субъекта и объекта	4	4
45	не что иное	6	4
46	с этой точки	4	4
47	в этом отношении	2	4
48	то время как	6	4
49	так что если	2	4
50	что иное как	6	4
51	это было бы	3	4
52	бы то ни	2	3
53	из того что	2	3
54	этой точки зрения	4	3
55	свободы и необходимости	4	3
56	говоря уже о	6	3
57	для нас в	2	3
58	не говоря уже	6	3
59	точно так же	3	3
60	но это не	2	3
61	в связи с	3	3
62	есть то что	8	3
63	так или иначе	2	3
64	равно как и	2	3
65	это значит что	25	2
66	одна и та	3	2
67	так же как	2	2
68	есть прежде всего	4	2
69	того что не	2	2
70	и та же	3	2
71	не потому что	2	2
72	в себе не	2	2
73	для того кто	3	2
74	потому что его	2	2
75	не есть нечто	3	2
76	того что она	2	2
77	и с этой	3	2
78	о том как	2	2
79	и не только	5	2
80	что это не	3	2
81	т д не	3	2
82	уже о том	3	2
83	мы не имеем	2	2
84	не только о	3	2
85	и при этом	2	2
86	и стало быть	6	2
