N	2gram	Vinokur_Vv	Komedia
1	и в	35	77
2	и не	13	47
3	iv в	2	45
4	в том	38	44
5	том что	30	42
6	т е	40	33
7	в г	5	33
8	о том	16	33
9	но и	7	32
10	может быть	30	30
11	таким образом	21	29
12	из них	4	29
13	в то	6	28
14	и его	6	28
15	в этом	35	27
16	потому что	18	27
17	что он	5	26
18	к тому	4	26
19	не только	26	25
20	вместе с	6	25
21	так как	15	24
22	как и	7	23
23	что в	13	23
24	что и	5	22
25	если бы	3	22
26	в самом	13	22
27	в конце	3	21
28	так и	2	21
29	а в	6	21
30	то же	11	21
31	ясно что	11	21
32	в его	12	20
33	со стороны	16	19
34	к этому	3	19
35	в этой	3	18
36	и т	45	17
37	тем что	6	17
38	еще не	4	17
39	и здесь	3	17
40	в нем	13	17
41	же время	6	17
42	все же	9	16
43	не менее	9	16
44	при этом	3	16
45	до нас	3	16
46	и сам	3	16
47	сих пор	7	16
48	до сих	7	16
49	его в	6	15
50	в своем	3	15
51	не в	10	15
52	точки зрения	12	15
53	между тем	10	15
54	прежде всего	10	15
55	один из	6	15
56	было бы	7	15
57	и на	3	15
58	к нему	3	14
59	все это	6	14
60	об этом	6	14
61	на протяжении	2	14
62	в свою	2	14
63	и с	2	14
64	о чем	4	13
65	то что	19	13
66	так что	5	13
67	самом деле	7	13
68	но в	10	13
69	того же	3	13
70	в них	5	13
71	того чтобы	22	13
72	что она	3	13
73	мы можем	2	13
74	только что	4	13
75	в одном	4	13
76	как раз	4	13
77	так же	3	12
78	с другой	8	12
79	для того	23	12
80	т п	5	12
81	как это	5	12
82	уже в	5	12
83	несмотря на	2	12
84	в качестве	8	12
85	в истории	9	12
86	хотя и	5	12
87	в начале	3	12
88	не может	19	12
89	н э	6	12
90	как в	3	12
91	но не	9	12
92	в котором	4	12
93	из которых	3	12
94	по отношению	4	11
95	наряду с	3	11
96	в их	12	11
97	в частности	3	11
98	с тем	6	11
99	речь идет	2	11
100	как мы	11	11
101	и даже	6	11
102	на этот	6	11
103	и для	4	11
104	в отношении	3	10
105	в целом	5	10
106	отношение к	3	10
107	ничего не	2	10
108	на основании	5	10
109	одной из	4	10
110	в чем	4	10
111	мы не	2	10
112	свою очередь	2	10
113	с этим	3	10
114	тем более	2	10
115	с одной	4	10
116	как бы	7	10
117	и что	6	10
118	в тех	2	9
119	отличие от	4	9
120	тому что	2	9
121	одной стороны	4	9
122	однако в	3	9
123	ответ на	4	9
124	из его	2	9
125	в своей	4	9
126	того как	3	9
127	а также	3	9
128	независимо от	5	9
129	отношению к	4	9
130	но все	4	9
131	вовсе не	6	9
132	говорить о	5	9
133	только в	16	9
134	в ней	3	9
135	и ее	4	8
136	и других	3	8
137	как он	6	8
138	такого рода	3	8
139	по своему	5	8
140	в в	3	8
141	то это	3	8
142	а затем	2	8
143	связи с	3	8
144	да и	4	8
145	другой стороны	5	8
146	можно было	8	8
147	бы в	2	8
148	с этой	5	8
149	в течение	5	8
150	в которых	6	8
151	по содержанию	3	8
152	не было	2	8
153	во всех	2	8
154	вопрос о	10	7
155	до конца	3	7
156	в себе	4	7
157	само собой	2	7
158	в другом	3	7
159	и к	3	7
160	так или	4	7
161	но если	6	7
162	и это	6	7
163	в связи	2	7
164	что они	2	7
165	во всяком	5	7
166	из этих	9	7
167	хотя бы	6	7
168	в результате	4	7
169	дело с	9	7
170	и вот	3	7
171	должен был	4	7
172	в этих	3	7
173	не имеет	4	7
174	или иначе	4	7
175	конце концов	2	7
176	всяком случае	5	7
177	из числа	2	6
178	в силу	3	6
179	в наиболее	2	6
180	в виду	5	6
181	и тем	5	6
182	в области	4	6
183	на вопрос	6	6
184	надо было	2	6
185	не говоря	2	6
186	о которых	2	6
187	могут быть	6	6
188	что не	5	6
189	говоря уже	2	6
190	в сущности	3	6
191	до того	2	6
192	в дальнейшем	2	6
193	тем не	9	6
194	и как	9	6
195	что к	2	6
196	во второй	3	6
197	как будто	3	6
198	в отличие	4	6
199	в какой	6	6
200	после того	2	6
201	на то	2	6
202	в своих	2	6
203	на этом	3	6
204	представляет собой	14	6
205	с точки	4	6
206	в и	4	6
