N	2gram	Losev_Dial	PoTuStor
1	может быть	30	17
2	и в	35	16
3	и пр	7	12
4	мы можем	5	9
5	в этом	18	9
6	и только	5	9
7	таким образом	5	9
8	прежде всего	14	9
9	и с	10	8
10	точки зрения	25	8
11	совершенно не	13	8
12	не может	16	8
13	и его	6	8
14	сказать что	19	7
15	не только	26	7
16	и это	6	6
17	с точки	18	6
18	конечно не	9	6
19	самом деле	6	6
20	я и	3	6
21	и к	8	6
22	для него	2	6
23	при этом	2	6
24	ни в	20	5
25	все эти	4	5
26	что такое	13	5
27	как бы	19	5
28	нуждается в	6	5
29	еще не	4	5
30	в чем	9	5
31	в него	2	5
32	отношение к	5	5
33	как мы	5	4
34	все это	14	4
35	на самом	5	4
36	его в	3	4
37	в его	4	4
38	но и	17	4
39	и не	51	4
40	и все	11	4
41	но в	8	4
42	с самого	2	4
43	в этой	3	4
44	но мы	3	4
45	так как	24	4
46	и их	5	4
47	все что	2	4
48	и может	7	4
49	только в	7	4
50	в нем	25	4
51	а потому	3	4
52	хотя бы	6	4
53	с ними	4	4
54	можно сказать	10	4
55	так и	18	4
56	в один	3	4
57	мысли и	3	4
58	самого начала	2	4
59	отнюдь не	13	4
60	и даже	23	4
61	что в	19	3
62	и притом	7	3
63	даже не	4	3
64	жизни и	9	3
65	и оно	2	3
66	и как	14	3
67	и потому	6	3
68	а в	8	3
69	в том	20	3
70	их в	2	3
71	по сравнению	2	3
72	и вот	10	3
73	в общем	2	3
74	с другими	2	3
75	в области	2	3
76	до сих	4	3
77	только на	3	3
78	крайней мере	11	3
79	и есть	20	3
80	во время	2	3
81	сравнению с	2	3
82	в этих	6	3
83	чем не	2	3
84	отношения к	3	3
85	с их	2	3
86	как это	8	3
87	то что	25	3
88	реальности и	2	3
89	только как	3	3
90	во всех	3	3
91	по крайней	11	3
92	мира и	2	3
93	могут быть	6	3
94	сих пор	4	3
95	всяком случае	3	3
96	вместе с	3	3
97	учение о	11	3
98	в одном	4	3
99	этом смысле	4	3
100	и др	2	3
101	на этом	4	3
102	во всяком	5	3
103	том что	18	3
104	в основе	4	3
105	один из	3	2
106	никогда не	18	2
107	что мы	3	2
108	может иметь	6	2
109	по своему	4	2
110	мы видим	6	2
111	есть и	11	2
112	с нею	3	2
113	в них	4	2
114	в жизни	3	2
115	в каком	10	2
116	к ним	3	2
117	в одно	5	2
118	для этого	2	2
119	и вообще	10	2
120	же как	3	2
121	и для	2	2
122	и всех	4	2
123	что не	13	2
124	что это	21	2
125	другими словами	2	2
126	и по	5	2
127	вообще не	2	2
128	что и	7	2
129	не менее	5	2
130	ее в	2	2
131	на первый	2	2
132	не существует	8	2
133	и мы	8	2
134	было бы	14	2
135	не могут	4	2
136	как не	4	2
137	о том	8	2
138	то же	21	2
139	они не	3	2
140	с этим	5	2
141	нечего и	2	2
142	как и	10	2
143	что он	16	2
144	так же	6	2
145	говорить о	9	2
146	потому и	2	2
147	но ведь	2	2
148	в науке	3	2
149	в своей	9	2
150	ни было	2	2
151	из этих	2	2
152	но как	7	2
153	в самом	6	2
154	и говорить	4	2
155	знаем что	2	2
156	с этой	3	2
157	в частности	4	2
158	сознания и	8	2
159	связанные с	3	2
160	он не	5	2
161	в голову	2	2
162	у него	2	2
163	не нуждается	9	2
164	всю жизнь	2	2
165	между собою	3	2
166	для меня	5	2
167	если мы	3	2
168	со всеми	2	2
169	как с	2	2
170	и о	4	2
171	оно не	2	2
172	не есть	67	2
173	в душе	8	2
174	за пределы	4	2
175	к этому	2	2
176	что на	2	2
177	нем нет	3	2
178	и образы	2	2
179	нет и	2	2
180	только и	5	2
181	можем сказать	3	2
182	поэтому и	3	2
183	меньше всего	4	2
184	не знает	2	2
185	что оно	9	2
186	момент в	2	2
187	и так	2	2
188	быть может	5	2
189	есть в	2	2
190	почти не	3	2
191	мы уже	8	2
192	только то	7	2
193	не будет	2	2
194	с ним	9	2
195	об его	2	2
196	но это	12	2
