N	2gram	Voloshinov	Otkroven
1	и в	12	19
2	но и	3	13
3	и не	10	13
4	в этом	4	12
5	не только	4	11
6	не в	4	11
7	а не	5	11
8	может быть	14	11
9	и все	2	10
10	в нем	6	10
11	никогда не	5	9
12	прежде всего	8	9
13	в его	2	7
14	до конца	2	7
15	нет ничего	2	7
16	он не	2	7
17	как и	5	6
18	все это	3	6
19	для него	3	5
20	в том	6	5
21	в творчестве	3	5
22	в самом	4	5
23	то что	5	5
24	отношение к	4	5
25	и его	13	4
26	что в	2	4
27	все эти	3	4
28	не может	16	4
29	что не	4	4
30	с его	2	4
31	в себе	3	3
32	о том	3	3
33	это не	2	3
34	к нему	4	3
35	еще не	3	3
36	в этих	2	3
37	когда он	3	3
38	и ее	3	3
39	как бы	13	3
40	хотя бы	5	3
41	могут быть	2	3
42	с ним	3	3
43	того что	3	3
44	как к	3	2
45	и то	2	2
46	сказать что	7	2
47	и на	4	2
48	уже в	2	2
49	и для	3	2
50	ничего не	2	2
51	и с	3	2
52	что и	2	2
53	и потому	2	2
54	в своем	2	2
55	но в	5	2
56	том что	5	2
57	все же	4	2
58	ко всем	2	2
59	в своей	3	2
60	так как	9	2
61	по себе	3	2
62	не есть	2	2
63	в душе	2	2
64	к этому	2	2
65	и к	4	2
66	так и	4	2
67	его в	4	2
