N	2gram	Trubetskoy	Problema
1	и в	14	182
2	и не	19	152
3	то что	13	144
4	не есть	3	113
5	не только	9	104
6	потому что	5	89
7	в этом	17	88
8	может быть	9	82
9	том что	9	81
10	в том	17	81
11	не просто	2	80
12	только в	5	73
13	но и	10	70
14	в виде	3	69
15	и даже	2	66
16	по себе	2	64
17	даже и	2	63
18	о том	7	57
19	а не	2	56
20	но в	2	55
21	так что	2	52
22	ни в	2	51
23	для нас	2	50
24	отнюдь не	7	48
25	в себе	9	48
26	было бы	5	46
27	в своей	5	45
28	прежде всего	8	45
29	что в	4	44
30	в его	4	44
31	все эти	2	43
32	не в	4	43
33	таким образом	11	42
34	то же	11	42
35	так как	4	40
36	и то	4	40
37	что он	6	40
38	и что	2	40
39	не может	22	39
40	в этой	4	39
41	и тем	2	39
42	во всяком	9	39
43	как бы	4	39
44	той или	3	38
45	в данном	7	38
46	хотя бы	5	37
47	того что	3	37
48	в нем	5	37
49	еще не	3	36
50	точки зрения	11	36
51	и т	3	35
52	и с	7	34
53	указывает на	2	34
54	как и	4	34
55	уже не	2	34
56	или иной	5	33
57	в таком	2	33
58	в то	10	32
59	но не	4	32
60	в своем	6	31
61	в конце	3	31
62	связи с	3	31
63	все это	6	31
64	что такое	2	31
65	так же	2	31
66	но это	2	31
67	ясно что	2	30
68	и для	6	30
69	в настоящее	2	30
70	настоящее время	2	30
71	все же	4	29
72	данном случае	3	28
73	и о	2	28
74	что же	4	28
75	а в	5	28
76	и как	3	27
77	в результате	2	26
78	как будто	2	26
79	вместе с	4	26
80	да и	3	26
81	тем самым	2	25
82	с точки	9	25
83	и на	5	25
84	мы можем	2	25
85	всяком случае	6	25
86	на самом	6	24
87	с тем	6	24
88	на то	5	23
89	при этом	5	23
90	конце концов	3	23
91	в качестве	3	23
92	никогда не	5	22
93	и если	7	22
94	и является	2	22
95	его в	4	22
96	и есть	2	22
97	только на	2	22
98	что и	3	22
99	можно ли	3	22
100	и от	2	22
101	всех этих	3	22
102	и к	6	22
103	мы должны	7	21
104	для себя	2	21
105	сама по	2	21
106	в самом	3	21
107	говорить о	3	21
108	и только	5	21
109	и потому	3	20
110	для того	6	20
111	именно в	3	20
112	можно было	4	20
113	несмотря на	3	20
114	или в	3	20
115	тем что	3	20
116	но если	3	19
117	того или	2	19
118	то в	3	19
119	если бы	6	19
120	то это	3	19
121	если не	2	19
122	он не	5	19
123	с ним	2	19
124	самом деле	7	19
125	это есть	2	19
126	жизни и	4	19
127	не будет	7	18
128	того чтобы	8	18
129	в этих	2	18
130	и ни	3	18
131	не было	3	18
132	в ней	2	18
133	мы уже	2	17
134	что они	3	17
135	совершенно не	2	17
136	во всех	5	17
137	но даже	2	16
138	к тому	7	16
139	для этого	3	16
140	точно так	2	16
141	и более	2	15
142	в частности	2	15
143	у него	2	15
144	с этим	2	15
145	не так	2	14
146	что все	3	14
147	людей и	2	14
148	сих пор	5	14
149	этом случае	3	14
150	в котором	2	14
151	то ни	4	14
152	до сих	5	14
153	в других	2	13
154	из этого	3	13
155	в их	4	13
156	тому что	2	13
157	в области	2	13
158	или иного	2	13
159	из них	3	13
160	нисколько не	2	12
161	при условии	3	12
162	в другом	3	12
163	для них	3	12
164	что это	3	12
165	в начале	2	12
166	на земле	4	12
167	он сам	3	12
168	не о	2	11
169	и во	3	11
170	в таких	2	11
171	о которых	3	11
172	не могут	4	11
173	по этому	2	11
174	и тогда	2	11
175	бы то	4	11
176	жизни в	5	11
177	к нему	2	11
178	от нас	2	10
179	быть и	2	10
180	отличается от	2	10
181	что для	3	10
182	или менее	4	10
183	что оно	3	10
184	на том	3	10
185	более или	4	10
186	даже если	2	10
187	из которых	5	10
188	вопрос о	5	9
189	тогда когда	4	9
190	она не	2	9
191	представить себе	2	9
192	идет речь	4	9
193	только для	2	9
194	и наконец	2	9
195	в своих	6	9
196	их в	2	9
197	мы говорили	3	9
198	о котором	3	9
199	были бы	2	8
200	между собой	5	8
201	и по	3	8
202	для него	6	8
203	если в	6	8
204	в силу	2	8
205	себе и	4	8
206	является не	2	8
207	если же	2	8
208	для всех	6	8
209	в сознании	3	8
210	только с	2	8
211	из этих	3	8
212	и этот	3	8
213	и при	6	8
214	но для	2	8
215	во всем	4	8
216	конечно не	5	8
217	друг друга	3	7
218	это только	2	7
219	а с	2	7
220	одной из	3	7
221	на этой	2	7
222	значительной мере	2	7
223	с самим	2	7
224	в значительной	3	7
225	все они	3	7
226	ни от	2	7
227	даже не	2	7
228	это в	2	7
229	ее в	2	7
230	не можем	2	7
231	только к	3	6
232	ни к	7	6
233	этот вопрос	2	6
234	в порядке	2	6
235	факт что	2	6
236	именно на	2	6
237	самого себя	7	6
238	есть и	2	6
239	по существу	5	6
240	во время	2	6
241	вся эта	2	6
242	но она	2	6
243	не к	2	6
244	как на	8	6
245	отношения к	2	6
246	одна из	3	5
247	бы его	2	5
248	он должен	5	5
249	из всех	2	5
250	и тот	2	5
251	лишь в	3	5
252	том чтобы	3	5
253	чтобы понять	2	5
254	все что	4	5
255	которой он	4	5
256	сводится к	3	5
257	если только	2	5
258	за то	2	5
259	между тем	5	5
260	от того	4	5
261	во многих	2	5
262	что может	3	5
263	на себя	2	5
264	что с	2	5
265	больше чем	2	5
266	должно быть	3	5
267	себя в	4	5
268	свое собственное	2	5
269	от него	2	4
270	для нее	2	4
271	на эту	2	4
272	что бы	3	4
273	следовательно и	2	4
274	друг от	2	4
275	себя и	5	4
276	собой и	3	4
277	которой она	2	4
278	ни одна	3	4
279	ни стало	3	4
280	он будет	4	4
281	всю свою	2	4
282	от друга	2	4
283	в корне	4	4
284	к этой	4	4
285	во что	3	4
286	но мы	3	4
287	и вместе	2	4
288	и те	2	4
289	с нею	3	4
290	там и	2	4
291	любви к	2	4
292	что только	2	4
293	на это	2	4
294	другом случае	2	4
295	так чтобы	3	4
296	значило бы	2	3
297	бы для	2	3
298	не существуют	2	3
299	будет в	2	3
300	по самому	2	3
301	как акт	2	3
302	том же	2	3
303	смотреть на	4	3
304	а потому	5	3
305	естественно что	2	3
306	что такой	4	3
307	должна быть	2	3
308	чтобы в	2	3
309	ли это	4	3
310	борьбе с	3	3
311	не тем	2	3
312	в последние	5	3
313	мы указали	2	3
314	всю эту	2	3
315	друг другу	2	3
316	и должно	2	3
317	тот факт	2	3
318	помнить что	2	3
319	бы нас	2	3
320	а во-вторых	2	3
321	проявляется в	2	3
322	если они	2	3
323	со стороны	4	3
324	собой а	3	3
325	в россии	6	3
326	всем этим	2	3
327	время в	2	3
328	к той	2	3
329	ведь в	2	3
330	и состоит	2	3
331	на основании	2	3
332	речь идет	2	3
333	знаем что	3	3
334	может не	3	3
335	место в	2	3
336	а следовательно	3	3
337	в совершенно	4	3
338	людей или	2	2
339	тому чтобы	4	2
340	она может	3	2
341	могут не	2	2
342	приходит к	3	2
343	однако отнюдь	2	2
344	к такому	2	2
345	время когда	2	2
346	отказаться от	4	2
347	разных сторон	2	2
348	в глазах	2	2
349	в борьбе	2	2
350	россии в	7	2
351	и вот	2	2
352	когда они	4	2
353	не должен	2	2
354	том и	2	2
355	точке зрения	3	2
356	чтобы она	2	2
357	на которой	2	2
358	на почве	2	2
359	будет ли	2	2
360	россии и	3	2
361	собой все	2	2
362	ничего другого	2	2
363	остается в	2	2
364	в будущем	3	2
365	они будут	2	2
366	по отношению	2	2
367	говоря о	2	2
368	в другое	4	2
369	весьма часто	2	2
370	с виду	3	2
371	большинстве случаев	2	2
372	раз навсегда	2	2
373	признать что	6	2
374	самому своему	2	2
375	том случае	4	2
376	случае если	3	2
377	стоять на	2	2
378	участие в	2	2
379	и будут	3	2
380	и сейчас	3	2
381	зависит от	2	2
382	этого не	2	2
383	бы ни	2	2
384	в меру	2	2
385	этой борьбы	2	2
386	самих себя	3	2
387	говорили в	2	2
388	последнее время	2	2
