N	2gram	Voloshinov	Myslijsy
1	и в	12	121
2	может быть	14	107
3	в том	6	103
4	то что	5	83
5	для нас	7	75
6	что в	2	73
7	и не	10	73
8	только в	6	72
9	не только	4	67
10	а не	5	67
11	таким образом	12	64
12	том что	5	59
13	так как	9	59
14	в этом	4	59
15	но и	3	59
16	то же	5	56
17	не в	4	54
18	если бы	9	53
19	в себе	3	53
20	не может	16	52
21	по себе	3	52
22	того что	3	47
23	в душе	2	45
24	в нем	6	45
25	и проч	3	45
26	не есть	2	42
27	как и	5	42
28	вместе с	2	39
29	мы не	3	38
30	что и	2	38
31	так и	4	37
32	при этом	6	37
33	как в	5	37
34	тогда когда	2	36
35	что мы	5	36
36	и что	2	32
37	по отношению	11	30
38	но не	2	29
39	что не	4	29
40	между тем	3	29
41	мы можем	2	28
42	для него	3	28
43	могут быть	2	27
44	независимо от	2	26
45	отношению к	11	26
46	в то	2	24
47	от того	4	23
48	как бы	13	23
49	но в	5	22
50	с другой	4	22
51	что слово	2	22
52	и потому	2	21
53	не менее	3	21
54	в ней	6	20
55	это не	2	20
56	есть уже	2	19
57	с ним	3	19
58	и то	2	19
59	сказать что	7	19
60	но это	2	19
61	тем не	3	19
62	о том	3	19
63	в каком	3	18
64	еще не	3	18
65	бы не	2	18
66	в самом	4	18
67	в его	2	17
68	слова и	6	17
69	точки зрения	14	17
70	уже в	2	17
71	в своем	2	16
72	так же	3	16
73	в них	3	16
74	и на	4	16
75	и по	3	15
76	в этих	2	15
77	с одной	2	15
78	прежде всего	8	15
79	с другими	2	15
80	уже не	4	15
81	там где	2	14
82	в котором	3	14
83	все же	4	14
84	и все	2	13
85	те же	2	13
86	зависит от	2	13
87	и его	13	13
88	как на	2	13
89	никогда не	5	12
90	все это	3	12
91	сих пор	3	12
92	быть только	2	12
93	оно не	2	12
94	поэтического произведения	3	12
95	в чем	2	12
96	относится к	2	12
97	другой стороны	2	12
98	до сих	3	12
99	и притом	2	11
100	и вообще	3	11
101	только на	3	11
102	которые мы	2	11
103	его в	4	11
104	к нему	4	11
105	со словом	2	11
106	и следовательно	5	10
107	одной стороны	2	10
108	но тем	2	10
109	и для	3	10
110	хотя бы	5	10
111	если же	2	10
112	слово в	3	10
113	он не	2	10
114	и с	3	10
115	на него	2	9
116	с точки	2	9
117	самом деле	3	9
118	можно сказать	5	9
119	ко всем	2	9
120	на самом	4	8
121	одно и	2	8
122	и слово	2	8
123	и более	3	8
124	но все	2	8
125	влияние на	2	8
126	была бы	2	8
127	между ними	2	8
128	на все	2	8
129	не так	2	8
130	словом и	2	8
131	художественное произведение	3	8
132	мы в	2	8
133	перестает быть	2	8
134	слова но	2	7
135	но мы	2	7
136	она не	2	7
137	связь с	2	7
138	и та	2	7
139	себя и	2	7
140	место в	2	7
141	или не	3	7
142	все эти	3	7
143	за пределы	4	7
144	поэтическое произведение	5	7
145	с этой	2	7
146	но что	2	7
147	из него	2	7
148	его к	2	7
149	тем как	2	7
150	самое слово	2	7
151	в данном	2	7
152	на это	2	7
153	к этому	2	7
154	в жизни	5	7
155	допустим что	2	7
156	в виду	5	6
157	в своей	3	6
158	должна быть	5	6
159	художественного произведения	7	6
160	и к	4	6
161	форма в	2	6
162	может стать	2	6
163	к слову	2	6
164	да и	3	6
165	к ним	2	6
166	и самое	2	6
167	ни было	4	6
168	же самое	2	6
169	жизни и	4	6
170	и уже	3	6
171	в процессе	6	5
172	как же	2	5
173	общего с	2	5
174	нет ничего	2	5
175	как не	2	5
176	отношение к	4	5
177	в нашем	11	5
178	слова так	2	5
179	известной степени	2	5
180	мы имеем	2	5
181	а к	2	5
182	отношении к	3	5
183	в какой	2	5
184	и значение	2	5
185	и здесь	2	5
186	конечно не	3	5
187	не к	3	5
188	данном случае	2	4
189	бы мы	3	4
190	в такой	3	4
191	в поэзии	3	4
192	то ни	3	4
193	дело в	4	4
194	его как	2	4
195	все они	2	4
196	ни в	3	4
197	к содержанию	6	4
198	из этого	3	4
199	он должен	3	4
200	ничего не	2	4
201	произведения и	3	4
202	этой точки	3	4
203	эта последняя	2	4
204	бы то	3	4
205	имеет место	2	4
206	с его	2	4
207	имеет в	3	4
208	стороны и	2	4
209	и вполне	2	4
210	такой же	2	4
211	и так	2	4
212	в некоторых	3	4
213	и ее	3	3
214	в отношении	2	3
215	в формах	2	3
216	и др	5	3
217	слово это	2	3
218	художественном произведении	3	3
219	бы даже	2	3
220	кроме того	2	3
221	и наконец	3	3
222	этой стороны	2	3
223	вместе со	2	3
224	искусства и	2	3
225	значения и	2	3
226	в себя	2	3
227	ясно что	3	3
228	но для	3	3
229	до известной	2	3
230	как это	2	3
231	со всех	2	3
232	дело с	2	3
233	сливается с	2	3
234	и совершенно	2	3
235	здесь не	3	3
236	слово так	3	3
237	можем сказать	2	3
238	в форме	2	3
239	они ни	2	3
240	находит в	2	2
241	ее и	3	2
242	еще раз	2	2
243	бы оно	2	2
244	как форма	2	2
245	формы и	3	2
246	быть и	3	2
247	речи в	2	2
248	от всех	2	2
249	тому же	2	2
250	когда он	3	2
251	имеем в	2	2
252	нуждается в	3	2
253	едва ли	2	2
254	для других	2	2
255	но конечно	2	2
256	остаются вне	2	2
257	что поэт	2	2
258	словами и	2	2
259	но этот	2	2
260	в самое	2	2
261	точек зрения	3	2
262	к его	2	2
263	зависимости от	4	2
264	этих двух	2	2
