N	3gram	Potebnia_M	Literetu
1	в то же	8	21
2	то же время	8	21
3	в том что	22	21
4	по отношению к	10	12
5	с одной стороны	4	12
6	в данном случае	3	11
7	не может быть	7	11
8	о том что	5	10
9	в этом отношении	2	10
10	с точки зрения	2	8
11	с другой стороны	4	7
12	подобно тому как	3	6
13	не только в	4	6
14	тем не менее	7	5
15	в том чтобы	4	5
16	тогда как в	2	4
17	и то что	3	4
18	а не как	2	3
19	и т п	7	3
20	во всяком случае	3	3
21	то же самое	3	3
22	на самом деле	4	3
23	по крайней мере	8	3
24	то что я	2	3
25	только в том	5	3
26	на то что	3	3
27	быть не может	2	3
28	в том же	2	3
29	в свою очередь	6	3
30	одно и то	7	2
31	тех пор пока	2	2
32	для того чтобы	5	2
33	и то же	7	2
34	потому что не	4	2
35	могли бы быть	2	2
36	не только не	4	2
37	и в самом	3	2
38	между тем как	4	2
39	в этом случае	2	2
40	к тому что	3	2
41	но и в	4	2
42	одно из них	2	2
43	лишь тогда когда	4	2
44	вместе с тем	5	2
45	то есть от	2	2
46	до тех пор	5	2
