N	3gram	Losev_Prob	Psycholo
1	в том что	13	78
2	для того чтобы	3	70
3	на то что	2	55
4	о том что	14	34
5	то же самое	2	31
6	с точки зрения	13	29
7	с одной стороны	5	28
8	до сих пор	3	23
9	не может быть	2	23
10	с другой стороны	7	20
11	в том чтобы	2	20
12	на самом деле	2	17
13	с самого начала	3	16
14	во всяком случае	6	14
15	в этом отношении	4	14
16	в то время	4	14
17	можно было бы	2	13
18	то время как	4	13
19	сам по себе	3	12
20	в конце концов	7	12
21	этой точки зрения	2	12
22	то что в	2	11
23	только в том	2	10
24	с этой точки	2	10
25	вместе с тем	5	10
26	том что он	3	10
27	и то что	3	10
28	потому что он	2	9
29	никак не может	2	9
30	в данном случае	5	9
31	точно так же	4	9
32	и как бы	2	8
33	по этому поводу	4	8
34	а с другой	3	7
35	в свою очередь	2	7
36	можно сказать что	4	7
37	в какой мере	3	7
38	в этом смысле	4	7
39	тем не менее	8	6
40	сама по себе	2	6
41	не что иное	3	6
42	что иное как	3	6
43	того или иного	2	6
44	не только в	5	6
45	и вместе с	3	5
46	в таком случае	2	5
47	потому что они	2	5
48	ни в какой	4	5
49	в том смысле	2	5
50	и в частности	4	5
51	к тому же	5	4
52	то есть в	5	4
53	в настоящее время	7	4
54	как будто бы	3	4
55	это и есть	2	4
56	за то что	2	4
57	и никогда не	2	4
58	только тогда когда	3	4
59	бы то ни	4	3
60	то и другое	5	3
61	после того как	3	3
62	ничего общего с	2	3
63	в том или	3	3
64	в это время	3	3
65	по себе а	2	3
66	в то же	2	3
67	как это мы	2	3
68	по отношению к	2	3
69	бросается в глаза	2	3
70	никак не могут	2	3
71	обратить внимание на	4	3
72	начала до конца	2	3
73	то есть как	2	3
74	дело в том	4	3
75	потому что оно	2	2
76	той или иной	4	2
77	одной стороны это	2	2
78	в предисловии к	2	2
79	с ним в	2	2
80	и никак не	2	2
81	все же не	3	2
82	то ни было	2	2
83	то что и	2	2
84	здесь вовсе не	2	2
85	но и в	2	2
86	в связи с	11	2
87	хотя и не	3	2
88	тех или иных	2	2
89	что он должен	2	2
90	по крайней мере	8	2
91	мы находим в	3	2
92	слова то есть	2	2
93	только о том	2	2
94	всего того что	2	2
95	в те времена	2	2
96	это значит что	2	2
97	в своей трагедии	3	2
98	какой мере не	3	2
99	в этой трагедии	4	2
100	в значительной мере	3	2
101	в этой драме	4	2
102	кто иной как	2	2
103	вовсе не для	2	2
104	к другому и	2	2
105	так или иначе	3	2
106	может быть только	6	2
107	это и не	2	2
108	а может быть	2	2
109	равно как и	2	2
