N	2gram	Voloshinov	Problema
1	и в	12	182
2	и не	10	152
3	то что	5	144
4	не есть	2	113
5	не только	4	104
6	в этом	4	88
7	может быть	14	82
8	том что	5	81
9	в том	6	81
10	только в	6	73
11	сказать что	7	72
12	но и	3	70
13	по себе	3	64
14	не менее	3	58
15	о том	3	57
16	так и	4	56
17	тем не	3	56
18	а не	5	56
19	но в	5	55
20	ни в	3	51
21	для нас	7	50
22	и вообще	3	48
23	отнюдь не	5	48
24	в себе	3	48
25	в своей	3	45
26	прежде всего	8	45
27	что в	2	44
28	в его	2	44
29	все эти	3	43
30	не в	4	43
31	таким образом	12	42
32	то же	5	42
33	так как	9	40
34	что мы	5	40
35	и то	2	40
36	и что	2	40
37	не может	16	39
38	как бы	13	39
39	в данном	2	38
40	хотя бы	5	37
41	того что	3	37
42	в нем	6	37
43	еще не	3	36
44	точки зрения	14	36
45	и все	2	36
46	в виду	5	34
47	и с	3	34
48	как и	5	34
49	уже не	4	34
50	же самое	2	33
51	в то	2	32
52	здесь не	3	32
53	едва ли	2	32
54	но не	2	32
55	в своем	2	31
56	все это	3	31
57	так же	3	31
58	но это	2	31
59	ясно что	3	30
60	с другой	4	30
61	и для	3	30
62	в настоящее	2	30
63	настоящее время	2	30
64	все же	4	29
65	можно сказать	5	29
66	данном случае	2	28
67	мы не	3	28
68	ничего не	2	27
69	вместе с	2	26
70	это не	2	26
71	да и	3	26
72	другой стороны	2	26
73	и его	13	26
74	с точки	2	25
75	и на	4	25
76	мы можем	2	25
77	на самом	4	24
78	и вполне	2	24
79	в нашем	11	24
80	и притом	2	23
81	при этом	6	23
82	никогда не	5	22
83	и является	4	22
84	его в	4	22
85	только на	3	22
86	нет ничего	2	22
87	вещи и	2	22
88	что и	2	22
89	и к	4	22
90	и ее	3	21
91	в самом	4	21
92	и потому	2	20
93	в отношении	2	19
94	в каком	3	19
95	если бы	9	19
96	кроме того	2	19
97	он не	2	19
98	с ним	3	19
99	уже в	2	19
100	самом деле	3	19
101	в них	3	19
102	как в	5	19
103	жизни и	4	19
104	в этих	2	18
105	в ней	6	18
106	и здесь	2	17
107	но все	2	16
108	художественного произведения	7	16
109	как это	2	16
110	в чем	2	15
111	общего с	2	15
112	и более	3	15
113	что не	4	15
114	не так	2	14
115	за пределы	4	14
116	сих пор	3	14
117	искусства и	2	14
118	в котором	3	14
119	с другими	2	14
120	то ни	3	14
121	до сих	3	14
122	дело в	4	13
123	из этого	3	13
124	мы имеем	2	13
125	мы в	2	13
126	ни на	2	13
127	с одной	2	12
128	значения и	2	12
129	в литературе	4	12
130	и следовательно	5	11
131	одной стороны	2	11
132	бы то	3	11
133	к нему	4	11
134	быть и	3	10
135	все время	6	10
136	бы даже	2	10
137	быть только	2	10
138	слова и	6	10
139	художественного творчества	3	10
140	которые мы	2	10
141	относится к	2	10
142	бы не	2	10
143	художественное произведение	3	10
144	как же	2	9
145	тогда когда	2	9
146	в условиях	2	9
147	она не	2	9
148	в художественном	3	9
149	и наконец	3	9
150	литературы и	4	9
151	и другие	2	9
152	в жизни	5	9
153	бы мы	3	8
154	между собой	2	8
155	является для	2	8
156	и по	3	8
157	для него	3	8
158	с этой	2	8
159	если же	2	8
160	к его	2	8
161	нас и	2	8
162	ни было	4	8
163	но для	3	8
164	конечно не	3	8
165	как только	2	8
166	и значение	2	7
167	его как	2	7
168	и так	2	7
169	все они	2	7
170	в какой	2	7
171	в такой	3	7
172	оно не	2	7
173	эта последняя	2	7
174	но что	2	7
175	была бы	2	7
176	мы ни	5	7
177	мы все	4	7
178	тому же	2	7
179	ведь и	3	6
180	или не	3	6
181	в зависимости	2	6
182	но отнюдь	2	6
183	на него	2	6
184	когда он	3	6
185	есть уже	2	6
186	имеем в	2	6
187	поскольку они	2	6
188	до конца	2	6
189	стороны и	2	6
190	могут быть	2	6
191	содержания и	2	6
192	что слово	2	6
193	с его	2	6
194	и уже	3	6
