N	2gram	Propp_Isto	Mirosoze
1	и в	44	97
2	может быть	31	64
3	не только	17	63
4	в этом	20	55
5	но и	16	54
6	он не	5	53
7	а не	5	53
8	в нем	10	49
9	не может	10	49
10	у него	7	47
11	и не	19	39
12	никогда не	5	38
13	потому что	18	37
14	в ней	8	37
15	не было	2	36
16	не в	11	34
17	и есть	3	33
18	для него	2	31
19	человека в	5	30
20	но он	2	30
21	прежде всего	7	29
22	как и	12	29
23	но в	7	27
24	и он	9	27
25	человека и	2	26
26	и это	5	25
27	в своей	3	25
28	он был	2	25
29	и все	4	24
30	в своем	3	23
31	что в	18	23
32	что он	29	22
33	отношение к	3	20
34	как бы	4	19
35	в его	16	18
36	и потому	2	17
37	того что	3	17
38	в том	13	16
39	том что	12	16
40	то что	16	16
41	было бы	2	16
42	и его	15	16
43	в этой	5	15
44	в котором	2	15
45	она не	7	14
46	так как	19	14
47	человек в	2	14
48	та же	2	13
49	и вот	4	13
50	друг друга	5	13
51	и на	11	13
52	это не	8	12
53	и у	3	12
54	к нему	5	12
55	в них	3	12
56	все это	4	12
57	но не	8	12
58	с тем	9	11
59	и там	3	11
60	но это	10	11
61	хотя бы	2	11
62	в которой	4	11
63	только в	8	11
64	как в	11	11
65	и для	3	11
66	в русской	8	11
67	уже не	14	11
68	и к	3	11
69	жизни и	4	11
70	не могут	2	10
71	так же	14	10
72	есть не	2	10
73	это и	3	10
74	один из	6	10
75	должна быть	3	10
76	то же	9	10
77	не имеет	4	10
78	есть и	3	9
79	а в	9	9
80	что и	11	9
81	все что	5	9
82	есть уже	2	9
83	в свою	3	9
84	с ним	9	9
85	лишь в	2	9
86	не мог	3	9
87	вместе с	26	9
88	вопрос о	5	8
89	ничего не	4	8
90	от него	2	8
91	в этих	7	8
92	они не	5	8
93	мира и	2	8
94	что не	3	8
95	того чтобы	3	8
96	т е	27	8
97	не знал	2	8
98	нет в	2	8
99	с его	3	8
100	себя в	6	8
101	тем что	12	8
102	для того	3	8
103	что есть	2	8
104	о том	11	8
105	и с	8	8
106	еще в	2	8
107	уже в	4	8
108	во власти	2	8
109	как он	6	7
110	но если	2	7
111	должен быть	2	7
112	что все	4	7
113	он в	3	7
114	мог бы	2	7
115	точки зрения	3	7
116	все еще	6	7
