N	2gram	Bakhtin_Fr	KFilosof
1	может быть	4	45
2	в его	17	42
3	в нем	20	32
4	не может	9	29
5	и не	23	28
6	и в	67	28
7	в котором	3	24
8	в себе	3	21
9	и его	19	18
10	только в	6	18
11	в своем	13	17
12	в ее	2	17
13	а не	6	17
14	в этом	27	15
15	не в	8	13
16	для него	4	13
17	точки зрения	7	13
18	но не	6	12
19	и это	5	12
20	к нему	5	12
21	ни в	5	12
22	мир в	4	12
23	в своей	6	11
24	во всех	20	11
25	все эти	12	11
26	это не	5	10
27	в целом	2	10
28	и для	4	10
29	все это	15	10
30	с точки	5	10
31	и есть	5	10
32	в их	4	9
33	но и	23	9
34	как бы	18	9
35	и все	18	9
36	если бы	2	8
37	не было	3	8
38	лишь в	3	8
39	жизни и	11	8
40	было бы	5	8
41	в себя	6	8
42	и здесь	6	7
43	должен быть	2	7
44	то что	9	7
45	конечно не	5	7
46	и только	2	7
47	что и	8	7
48	момент в	2	7
49	вовсе не	19	7
50	этот момент	3	7
51	менее всего	4	6
52	но эта	3	6
53	в том	16	6
54	но все	2	6
55	не имеет	4	6
56	место в	3	6
57	и их	6	6
58	но это	10	6
59	он не	9	6
60	никогда не	6	5
61	от его	4	5
62	его в	10	5
63	все же	7	5
64	не только	23	5
65	его как	4	5
66	хотя бы	2	5
67	то же	18	5
68	жизни в	3	5
69	еще не	5	5
70	а в	4	5
71	но в	20	5
72	как и	19	5
73	ко всему	3	5
74	именно в	5	5
75	время и	2	5
76	в одном	7	5
77	там где	10	5
78	себя и	2	5
79	со всем	2	5
80	с ним	6	5
81	в основе	6	5
82	что это	4	4
83	том что	13	4
84	нисколько не	4	4
85	что в	14	4
86	и жизни	2	4
87	не как	3	4
88	и т.д	2	4
89	единая и	2	4
90	времени и	4	4
91	чем не	3	4
92	о нем	2	4
93	прежде всего	19	4
94	в чем	6	4
95	к ним	2	4
96	мира и	10	4
97	при этом	5	4
98	как его	2	4
99	между тем	3	4
100	до конца	2	3
101	ничего не	5	3
102	в то	17	3
103	на самом	8	3
104	от него	2	3
105	здесь не	7	3
106	всех этих	9	3
107	в каждом	3	3
108	в другом	4	3
109	от того	3	3
110	это и	10	3
111	тем что	3	3
112	та же	2	3
113	бы не	2	3
114	для того	8	3
115	где он	2	3
116	самом деле	6	3
117	тем как	2	3
118	в виду	2	3
119	и тот	2	3
120	в корне	2	3
121	по своему	5	3
122	нет и	4	3
123	и этот	2	3
124	для этой	2	3
125	не менее	4	3
126	и ни	3	3
127	независимо от	3	3
128	о том	8	3
129	в акте	5	3
130	в ней	10	3
131	стороны в	3	3
132	и этим	2	3
133	тогда когда	3	3
134	и та	2	3
135	здесь нет	4	3
136	но здесь	3	3
137	и на	12	3
138	что не	4	3
139	на своем	2	3
140	того что	4	3
141	мы не	6	3
142	из его	2	3
143	рядом с	6	3
144	тот же	4	3
145	бы и	2	3
146	не дает	2	3
147	конечно в	4	2
148	и то	2	2
149	все остальные	3	2
150	кажется что	2	2
151	чтобы не	2	2
152	для этого	2	2
153	ее как	2	2
154	бы он	2	2
155	в данном	4	2
156	говорить о	5	2
157	и ее	2	2
158	и эта	2	2
159	дело в	5	2
160	к этому	4	2
161	включает в	2	2
162	это было	4	2
163	с ее	7	2
164	как к	2	2
165	и как	7	2
166	весь мир	10	2
167	а как	3	2
168	и других	2	2
169	все они	7	2
170	в области	2	2
171	не остается	4	2
172	что он	7	2
173	и за	2	2
174	нами в	2	2
175	со всеми	6	2
176	так и	14	2
177	но этот	5	2
178	жизнь и	5	2
179	его и	2	2
180	нем не	4	2
181	в жизни	4	2
182	с тем	3	2
183	как в	4	2
184	от этого	2	2
185	думать что	2	2
186	всей своей	2	2
187	в ту	3	2
188	и она	3	2
189	он может	2	2
190	для выражения	2	2
191	на нем	2	2
192	и само	2	2
193	соответствии с	2	2
194	он и	6	2
195	один из	6	2
196	мысль и	2	2
197	потому что	8	2
198	не будет	2	2
199	того чтобы	9	2
200	где этот	2	2
201	что эта	3	2
202	именно на	3	2
203	ведь это	3	2
204	и смерти	2	2
205	дан в	2	2
206	в качестве	5	2
207	же время	14	2
208	дело здесь	3	2
209	акта в	2	2
210	в этой	13	2
211	с его	11	2
