N	2gram	Vygotskiy_	Psycholo
1	то что	32	193
2	и в	37	190
3	в том	47	163
4	что в	25	123
5	потому что	11	114
6	том что	42	113
7	и что	11	108
8	может быть	19	107
9	таким образом	39	102
10	в этом	32	100
11	все время	8	86
12	в самом	16	82
13	как бы	16	80
14	для того	19	78
15	того чтобы	23	78
16	что он	16	76
17	не только	29	75
18	на то	11	73
19	и не	15	73
20	что она	6	71
21	самом деле	8	70
22	точки зрения	49	69
23	не может	16	68
24	если мы	8	66
25	так как	11	63
26	так же	18	63
27	было бы	12	56
28	если бы	10	55
29	и мы	3	54
30	то же	12	54
31	о том	14	54
32	при этом	6	52
33	как и	20	51
34	что и	3	50
35	а не	5	50
36	что это	8	49
37	заключается в	12	46
38	только в	8	46
39	в сущности	13	46
40	сказать что	16	46
41	по себе	9	46
42	к тому	10	45
43	говорит что	9	45
44	не в	9	45
45	в этой	13	43
46	ясно что	2	43
47	показать что	7	43
48	никогда не	8	42
49	и все	7	42
50	вместе с	14	41
51	с и	3	40
52	как это	6	40
53	но и	23	40
54	при помощи	2	39
55	как раз	8	39
56	того что	28	39
57	же самое	4	38
58	и это	3	37
59	мы видим	7	37
60	и как	7	36
61	с тем	8	35
62	вовсе не	5	34
63	и если	4	34
64	и его	10	34
65	как на	5	34
66	что все	8	33
67	когда он	5	33
68	все же	6	33
69	тому что	6	33
70	все это	9	32
71	в себе	8	32
72	же точно	10	32
73	в ней	2	31
74	мы не	13	31
75	в его	16	31
76	он не	11	31
77	для нас	4	31
78	мы увидим	3	30
79	как в	7	30
80	с одной	14	29
81	и для	3	29
82	с точки	34	29
83	одной стороны	15	29
84	в нем	2	29
85	что мы	9	28
86	что они	5	28
87	увидим что	2	28
88	и то	3	28
89	мы можем	11	28
90	в основе	9	27
91	с другой	16	27
92	в своих	6	27
93	а в	4	27
94	на деле	5	27
95	и на	8	27
96	так что	2	26
97	только что	7	25
98	жизни и	2	25
99	с таким	8	24
100	в целом	29	24
101	сущности говоря	3	24
102	указывает на	4	24
103	до сих	4	24
104	тем что	7	24
105	в своем	10	23
106	сих пор	4	23
107	для этого	7	23
108	целый ряд	6	23
109	из этого	6	23
110	что если	3	23
111	могут быть	5	23
112	что оно	6	23
113	один из	3	23
114	и даже	5	22
115	что у	3	22
116	казалось бы	8	22
117	когда мы	2	22
118	с этим	8	22
119	между тем	10	22
120	из них	4	22
121	всякий раз	2	22
122	в своей	7	21
123	как мы	11	21
124	и вот	3	21
125	в конце	2	21
126	том чтобы	6	21
127	ни в	6	21
128	в котором	6	21
129	в которых	6	21
130	что эта	7	21
131	той же	4	21
132	и только	2	21
133	в двух	3	21
134	она не	3	20
135	все эти	6	20
136	в то	7	20
