N	2gram	Berdyaev_V	Morfolog
1	и т	2	62
2	т д	2	60
3	могут быть	2	21
4	так как	9	20
5	в этом	4	18
6	в этих	3	17
7	и в	16	17
8	и не	20	16
9	прежде всего	2	14
10	а не	7	11
11	в том	3	10
12	то что	9	10
13	так и	4	10
14	что в	3	10
15	что и	3	10
16	но и	5	9
17	не только	2	8
18	но не	2	8
19	а в	2	8
20	мы не	2	8
21	не могут	2	7
22	том что	2	7
23	один из	2	7
24	потому что	4	7
25	это не	2	6
26	но это	3	6
27	во всех	3	6
28	в образе	4	6
29	в форме	2	6
30	как бы	5	6
31	одна из	2	5
32	они и	2	5
33	вслед за	2	5
34	хотя бы	3	5
35	что он	4	5
36	то это	3	5
37	тому что	3	5
38	к тому	3	5
39	между тем	2	5
40	все эти	3	5
41	что они	7	5
42	хотя и	5	5
43	можно было	2	4
44	тем что	2	4
45	еще не	8	4
46	но в	3	4
47	и для	3	4
48	как и	4	4
49	уже не	2	4
50	того чтобы	2	4
51	говорить о	4	4
52	в последнем	2	3
53	не в	3	3
54	того что	5	3
55	ее в	2	3
56	ни в	3	3
57	но мы	2	3
58	к чему	3	3
59	и что	3	3
60	и тогда	2	3
61	только в	2	3
62	и есть	4	3
63	с его	3	3
64	самого себя	2	2
65	это еще	4	2
66	от него	2	2
67	является в	2	2
68	превращается в	3	2
69	и за	2	2
70	его и	2	2
71	в чем	3	2
72	должна быть	3	2
73	а с	2	2
74	не с	2	2
75	с тем	2	2
76	не так	2	2
77	не имеет	3	2
78	чтобы овладеть	2	2
79	их в	3	2
80	оно не	3	2
81	для нас	2	2
82	что мы	4	2
83	когда в	2	2
84	все это	5	2
85	это мы	2	2
86	для него	2	2
87	во всяком	2	2
