N	2gram	Losev_Dial	Sotsiolo
1	все это	13	7
2	в том	17	5
3	в этом	14	5
4	для нас	2	3
5	как же	9	3
6	не только	35	3
7	и только	6	3
8	в его	6	3
9	но ведь	2	3
10	не в	11	3
11	и в	34	3
12	это и	12	2
13	дело не	2	2
14	должна быть	11	2
15	еще не	7	2
16	только в	10	2
17	что в	12	2
18	тем более	5	2
19	в частности	3	2
20	том что	18	2
21	было бы	13	2
22	таким образом	14	2
23	в смысле	4	2
24	то же	9	2
25	диалектический материализм	3	2
26	только как	7	2
27	как будто	3	2
28	и что	21	2
29	как только	5	2
30	то что	25	2
31	как бы	19	2
32	но и	14	2
33	в конце	2	2
34	за пределы	3	2
35	и мы	6	2
36	может быть	30	2
37	по существу	2	2
38	в результате	7	2
39	ведь это	2	2
