N	3gram	Tiupa_Lite	Problemy
1	то же время	12	26
2	в то же	12	26
3	с точки зрения	4	25
4	по отношению к	4	18
5	и т п	2	18
6	не может быть	5	14
7	во всяком случае	2	9
8	с другой стороны	5	9
9	в том что	15	8
10	же время не	2	6
11	в отличие от	6	6
12	по крайней мере	2	5
13	подобно тому как	4	5
14	можно было бы	2	5
15	и прежде всего	4	4
16	тем не менее	4	4
17	о том что	3	4
18	в этом отношении	5	4
19	но при этом	2	3
20	для него в	2	3
21	в данном случае	6	3
22	в этом случае	2	3
23	в художественном мире	2	3
24	прежде всего в	4	2
25	этой точки зрения	3	2
26	только то что	2	2
27	но с другой	3	2
28	не только в	4	2
29	в том же	3	2
30	дело в том	2	2
31	в целом ряде	2	2
32	в свою очередь	2	2
