N	2gram	Voloshinov	VelikijI
1	и не	4	20
2	и в	16	16
3	так как	4	9
4	то что	3	9
5	еще не	5	8
6	и потому	3	7
7	не есть	2	6
8	как бы	5	5
9	но и	4	5
10	все это	4	5
11	и все	4	4
12	как и	2	4
13	все что	4	4
14	в нем	4	4
15	что не	2	4
16	что мы	2	4
17	в его	4	4
18	говорить о	2	4
19	в этом	9	4
20	что он	2	4
21	и есть	3	4
22	так и	4	4
23	никогда не	2	3
24	в жизни	2	3
25	что в	3	3
26	в том	3	3
27	и для	2	3
28	но в	4	3
29	ни в	5	3
30	их в	3	3
31	но это	2	3
32	оно не	2	3
33	хотя бы	4	3
34	в своей	2	3
35	во всех	3	3
36	в них	2	3
37	жизни и	3	3
38	как не	2	3
39	этих трех	2	3
40	что и	2	3
41	и мы	2	3
42	все эти	5	3
43	в этих	3	3
44	в чем	5	3
45	с его	7	3
46	нет и	2	2
47	и это	6	2
48	ее в	2	2
49	не только	7	2
50	не могут	2	2
51	а в	3	2
52	том что	3	2
53	но мы	4	2
54	во всяком	3	2
55	нем нет	2	2
56	могут быть	3	2
57	один из	2	2
58	не будет	2	2
59	и теперь	3	2
60	мы не	2	2
61	конечно не	6	2
62	только в	4	2
63	для нас	2	2
64	на этих	2	2
65	прежде всего	9	2
66	с ним	2	2
67	для него	6	2
