N	3gram	Ircho_Kome	Morfolog
1	в этом случае	2	10
2	в связи с	3	9
3	по отношению к	4	7
4	с точки зрения	6	6
5	тем не менее	3	6
6	наряду с этим	2	5
7	с другой стороны	2	5
8	но все же	3	4
9	в том что	15	4
10	в тех же	2	4
11	о том что	7	3
12	бы то ни	3	3
13	то время как	3	3
14	состоит в том	2	3
15	в то время	3	3
16	для того чтобы	8	3
17	мы имеем в	2	2
18	во всяком случае	3	2
19	то ни было	3	2
20	более или менее	2	2
21	в этом отношении	2	2
22	друг за другом	2	2
23	о том как	5	2
24	хотя и не	2	2
25	с одной стороны	4	2
