N	3gram	Vinokur_St	Narrotol
1	в том что	29	18
2	в данном случае	7	17
3	не только в	4	13
4	по отношению к	3	11
5	о том что	19	9
6	к тому же	2	9
7	в то же	5	8
8	тем не менее	4	8
9	в этом отношении	13	8
10	то же время	5	8
11	не может быть	5	8
12	с одной стороны	2	6
13	на самом деле	7	5
14	для того чтобы	13	5
15	но и в	2	5
16	имеем дело с	2	5
17	к тому что	4	4
18	во всяком случае	8	4
19	у нас нет	7	4
20	речь идет о	3	3
21	точно так же	2	3
22	того или иного	4	3
23	в том как	3	3
24	иметь в виду	2	3
25	с точки зрения	10	3
26	как раз в	4	3
27	а также и	2	3
28	в самом деле	7	3
29	до сих пор	12	3
30	в зависимости от	2	3
31	на то что	5	3
32	обращает на себя	2	3
33	дело в том	7	3
34	и то что	2	3
35	тем или иным	3	2
36	не только не	2	2
37	но все же	3	2
38	более или менее	2	2
39	не в том	3	2
40	из этих двух	2	2
41	но и здесь	2	2
42	в той мере	2	2
43	можно было бы	8	2
44	мере в какой	3	2
45	так же как	5	2
46	в том смысле	4	2
47	и т п	11	2
48	только потому что	2	2
49	как своего рода	2	2
50	на этот раз	2	2
51	той мере в	2	2
52	а между тем	2	2
53	сами по себе	2	2
54	в этом месте	2	2
