N	2gram	Losev_Dial	Problemy
1	и в	34	106
2	и не	50	90
3	как бы	19	70
4	может быть	30	66
5	т е	72	59
6	в его	6	56
7	в этом	14	52
8	в нем	7	51
9	не может	29	49
10	что он	18	44
11	как и	14	44
12	но и	14	40
13	точки зрения	43	40
14	для него	4	39
15	и его	8	39
16	а не	39	38
17	о себе	2	37
18	не только	35	36
19	то же	9	36
20	то что	25	33
21	но в	3	33
22	прежде всего	20	32
23	в то	9	29
24	все это	13	29
25	он не	8	29
26	и все	17	28
27	не в	11	27
28	в одном	3	27
29	к другому	2	27
30	же время	5	26
31	к нему	4	25
32	в сущности	10	25
33	с точки	25	25
34	и т	41	25
35	в самом	9	25
36	и с	10	25
37	самом деле	7	24
38	вовсе не	18	24
39	и на	6	23
40	таким образом	14	22
41	что я	3	22
42	по себе	31	22
43	как мы	4	21
44	никогда не	9	20
45	все же	4	20
46	потому что	21	20
47	только в	10	20
48	что в	12	19
49	с его	7	19
50	что же	12	19
51	на самом	2	18
52	в себе	8	18
53	о нем	6	18
54	все эти	4	18
55	уже не	9	18
56	еще не	7	18
57	но не	3	18
58	это не	13	17
59	в том	17	17
60	так и	11	17
61	а в	3	17
62	и к	5	17
63	с ним	3	17
64	так же	7	16
65	если бы	10	16
66	в своей	4	16
67	и наконец	2	15
68	и для	5	15
69	у него	2	15
70	так как	12	14
71	в своем	7	14
72	в конце	2	14
73	я не	11	14
74	с другим	2	14
75	он и	3	14
76	себя самого	4	14
77	как раз	11	14
78	а как	2	14
79	его в	2	13
80	перед нами	5	13
81	и это	12	13
82	себя и	3	13
83	в мире	2	13
84	точка зрения	5	13
85	том что	18	12
86	в одной	4	12
87	слово в	2	12
88	ничего не	29	12
89	так что	11	12
90	к тому	4	12
91	не знает	4	12
92	что и	8	12
93	при этом	7	12
94	было бы	13	12
95	во всяком	5	12
96	но это	10	12
97	за пределы	3	12
98	и даже	21	12
99	и как	13	12
100	как в	2	12
101	в котором	2	12
102	и что	21	12
103	у меня	2	12
104	не могут	6	11
105	она не	10	11
106	так чтобы	4	11
107	ни одного	2	11
108	бы и	2	11
109	должно быть	7	11
110	бы в	5	11
111	а я	3	11
112	тем что	5	11
113	сознания и	5	11
114	или как	3	11
115	с другой	5	11
116	их в	2	11
117	мы уже	6	11
118	как будто	3	11
119	для себя	2	10
120	идеи в	2	10
121	в него	2	10
122	что не	8	10
123	ведь и	3	10
124	как не	4	10
125	лишь как	4	10
126	той же	6	10
127	в слове	3	10
128	и потому	6	9
129	или в	4	9
130	могут быть	5	9
131	в них	6	9
132	раз и	3	9
133	хотя и	9	9
134	да и	4	9
135	другой стороны	4	9
136	хотя бы	9	9
137	что у	2	9
138	ни в	20	9
139	всяком случае	3	9
140	но он	3	9
141	но как	3	8
142	никак не	3	8
143	как к	2	8
144	это и	12	8
145	вот как	2	8
146	и о	9	8
147	того что	22	8
