N	2gram	Tiupa_Disk	VelikijI
1	и не	25	20
2	и в	27	16
3	то что	10	9
4	еще не	20	8
5	в истории	5	8
6	и потому	3	7
7	а не	35	7
8	не есть	3	6
9	в мире	9	5
10	как бы	9	5
11	на себя	2	5
12	но и	22	5
13	все это	2	5
14	хотя и	3	5
15	того что	4	5
16	это еще	2	4
17	и все	5	4
18	как и	27	4
19	в котором	7	4
20	потому что	7	4
21	в нем	16	4
22	в ней	2	4
23	что не	4	4
24	во мне	4	4
25	в его	9	4
26	говорить о	3	4
27	в этом	29	4
28	что он	6	4
29	и есть	2	4
30	так и	14	4
31	никогда не	3	3
32	в жизни	2	3
33	что в	8	3
34	в том	29	3
35	но в	15	3
36	к тому	6	3
37	ни в	7	3
38	их в	2	3
39	но это	3	3
40	должно быть	2	3
41	оно не	2	3
42	хотя бы	3	3
43	в своей	10	3
44	во всех	6	3
45	к чему	2	3
46	в них	6	3
47	жизни и	2	3
48	как не	3	3
49	что и	5	3
50	не было	9	3
51	лишь в	4	3
52	и что	2	3
53	не в	8	3
54	все эти	2	3
55	в этих	4	3
56	должна быть	2	3
57	в чем	2	3
58	с его	9	3
59	и то	4	2
60	да и	2	2
61	они и	3	2
62	но не	17	2
63	и это	3	2
64	это не	5	2
65	не только	36	2
66	не могут	2	2
67	а в	5	2
68	том что	27	2
69	на том	2	2
70	и во	2	2
71	а к	3	2
72	во всяком	3	2
73	уже не	7	2
74	могут быть	5	2
75	не к	3	2
76	один из	3	2
77	тем кто	2	2
78	более чем	3	2
79	мира в	6	2
80	тем что	4	2
81	мы не	2	2
82	только в	9	2
83	и сам	2	2
84	в форме	2	2
85	в себя	7	2
86	прежде всего	17	2
87	всего в	2	2
88	между тем	5	2
89	а с	8	2
90	для него	9	2
91	не с	4	2
