N	3gram	Vinokur_St	Psycholo
1	в том что	29	78
2	для того чтобы	13	70
3	на то что	5	55
4	в самом деле	7	51
5	и т п	11	37
6	заключается в том	4	36
7	о том что	19	34
8	с точки зрения	10	29
9	с одной стороны	2	28
10	до сих пор	12	23
11	не может быть	5	23
12	и в самом	3	22
13	и т д	25	22
14	к тому что	4	20
15	с другой стороны	8	20
16	на самом деле	7	17
17	с самого начала	3	16
18	не только не	2	16
19	в зависимости от	2	15
20	во всяком случае	8	14
21	так же как	5	14
22	в этом отношении	13	14
23	в то время	2	14
24	можно было бы	8	13
25	и в этом	4	13
26	в конце концов	2	12
27	то что в	3	11
28	тот факт что	5	11
29	то что он	3	11
30	только в том	3	10
31	сами по себе	2	10
32	вместе с тем	2	10
33	том что он	6	10
34	не в том	3	10
35	и то что	2	10
36	что он не	5	9
37	в данном случае	7	9
38	точно так же	2	9
39	что в нем	2	8
40	речь идет о	3	8
41	по этому поводу	4	8
42	что в этой	2	8
43	на этот вопрос	2	7
44	что и в	4	7
45	если бы мы	2	7
46	как и в	2	7
47	в этом смысле	2	7
48	более или менее	2	6
49	тем не менее	4	6
50	и в том	3	6
51	того или иного	4	6
52	не только в	4	6
53	как раз в	4	5
54	сказать что в	3	5
55	в том смысле	4	5
56	не значит что	3	4
57	вопрос о том	4	4
58	одним и тем	2	4
59	а между тем	2	4
60	к тому же	2	4
61	в настоящее время	2	4
62	и тем же	2	4
63	в применении к	3	4
64	за то что	5	4
65	вовсе не в	2	4
66	в этой области	5	4
67	то или иное	3	4
68	том что в	4	4
69	то что у	2	4
70	только потому что	2	4
71	бы то ни	2	3
72	после того как	5	3
73	может быть и	2	3
74	ничего общего с	3	3
75	он не только	2	3
76	в это время	3	3
77	так как в	2	3
78	в этом случае	3	3
79	я не могу	2	3
80	в то же	5	3
81	в прямом смысле	2	3
82	то обстоятельство что	3	3
83	иметь в виду	2	3
84	по отношению к	3	3
85	то же время	5	3
86	что это не	2	3
87	обратить внимание на	3	3
88	в том как	3	3
89	том смысле что	2	3
90	он должен был	2	3
91	дело в том	7	3
92	во всех трех	2	2
93	в предисловии к	2	2
94	так и в	5	2
95	имеем дело с	2	2
96	дело не в	2	2
97	т п в	4	2
98	что оба эти	2	2
99	но и в	2	2
100	мере в какой	3	2
101	что в области	3	2
102	в одном из	4	2
103	не до конца	2	2
104	но столь же	2	2
105	во многих случаях	2	2
106	по крайней мере	2	2
107	каждого из них	3	2
108	в своей трагедии	5	2
109	тем что в	2	2
110	и только в	3	2
111	тем или иным	3	2
112	т д и	2	2
113	всяком случае в	2	2
114	так или иначе	3	2
115	в той же	2	2
116	так например в	4	2
117	в таком виде	2	2
