N	3gram	Trubetskoy	EvropaiE
1	с точки зрения	8	16
2	в то же	2	15
3	то же время	2	14
4	с одной стороны	2	8
5	равноценности и качественной	2	7
6	в том что	16	6
7	и качественной несоизмеримости	2	6
8	для того чтобы	7	5
9	так же как	3	5
10	то ни было	3	4
11	бы то ни	3	4
12	заключает в себе	2	3
13	во всяком случае	2	3
14	культур и народов	2	3
15	друг с другом	9	3
16	в данном случае	3	2
17	рано или поздно	2	2
18	с другой стороны	4	2
19	друг от друга	6	2
20	с течением времени	4	2
21	на то что	7	2
22	заключается в том	3	2
23	в свою очередь	2	2
24	по сравнению с	5	2
25	не может быть	4	2
26	тех народов которые	2	2
