N	2gram	Losev_Prob	Poddanst
1	не только	28	17
2	и в	48	14
3	и не	29	12
4	в области	3	11
5	в этом	31	10
6	в отношении	8	10
7	но в	17	9
8	то же	6	9
9	в том	25	9
10	в качестве	9	9
11	хотя бы	11	8
12	в то	6	7
13	только в	21	7
14	но и	21	6
15	было бы	12	6
16	в смысле	8	6
17	в ней	4	6
18	а н	3	5
19	россии в	2	5
20	с другой	8	5
21	не в	16	5
22	и о	9	5
23	может быть	11	5
24	большей степени	2	4
25	по себе	5	4
26	что в	12	4
27	если бы	2	4
28	и потому	4	4
29	в своем	16	4
30	том что	29	4
31	а также	8	4
32	в котором	5	4
33	на путях	2	4
34	в русской	4	4
35	и к	9	4
36	как бы	10	4
37	и если	2	4
38	то что	26	4
39	не может	6	4
40	а в	8	4
41	же в	4	4
42	что мы	4	3
43	и как	10	3
44	с тем	7	3
45	в сравнении	4	3
46	но не	12	3
47	тем самым	2	3
48	сравнении с	4	3
49	это не	8	3
50	с точки	13	3
51	в россии	2	3
52	мы не	7	3
53	для того	4	3
54	в себе	7	3
55	точки зрения	17	3
56	потому что	21	3
57	одной стороны	5	3
58	в нем	8	3
59	между тем	2	3
60	вслед за	2	3
61	и без	5	3
62	могут быть	2	3
63	прежде всего	15	3
64	и т	2	3
65	хотя и	10	3
66	тот же	6	3
67	с одной	5	3
68	наряду с	2	3
69	для нас	14	2
70	не о	2	2
71	да и	5	2
72	в них	5	2
73	в жизни	4	2
74	если в	2	2
75	для них	3	2
76	не к	3	2
77	никак не	10	2
78	и весьма	2	2
79	iii в	4	2
80	и это	3	2
81	слова но	2	2
82	которую мы	2	2
83	духа и	2	2
84	и тем	4	2
85	в его	19	2
86	с этим	3	2
87	и г	2	2
88	не менее	8	2
89	время в	2	2
90	в европе	2	2
91	именно в	11	2
92	в начале	6	2
93	в виде	25	2
94	еще более	4	2
95	тем более	2	2
96	все это	8	2
97	но к	2	2
98	в частности	5	2
99	значительной мере	3	2
100	том числе	2	2
101	начала и	2	2
102	а не	7	2
103	не было	4	2
104	и есть	4	2
105	и с	10	2
106	не будем	3	2
107	во всех	2	2
108	в ее	6	2
109	но о	2	2
110	ii в	2	2
111	между прочим	2	2
112	эта идея	2	2
113	как раз	7	2
114	есть в	6	2
115	в значительной	3	2
116	того что	8	2
117	в силу	6	2
118	из них	4	2
119	отнюдь не	14	2
