N	3gram	Tiupa_Lite	FransuaR
1	в то же	12	55
2	то же время	12	55
3	в том числе	2	27
4	в том что	15	27
5	в этом отношении	5	20
6	с точки зрения	4	20
7	о том что	3	17
8	в связи с	4	16
9	и прежде всего	4	14
10	не может быть	5	13
11	дело в том	2	13
12	с одной стороны	8	13
13	с другой стороны	5	12
14	в отличие от	6	11
15	в данном случае	6	10
16	не только в	4	10
17	по отношению к	4	9
18	можно было бы	2	7
19	прежде всего в	4	7
20	подобно тому как	4	7
21	в свою очередь	2	6
22	за то что	2	6
23	во всяком случае	2	5
24	все же в	2	5
25	в том же	3	5
26	только то что	2	5
27	и то что	2	4
28	тех или иных	2	3
29	а с другой	2	3
30	в целом ряде	2	3
31	ничего общего с	2	2
32	в его лице	2	2
33	имел в виду	2	2
34	в первый раз	2	2
35	в этом случае	2	2
36	в конечном счете	8	2
37	он и сам	3	2
38	но при этом	2	2
39	из того что	2	2
40	же время не	2	2
41	в себя и	2	2
