N	2gram	Vygotskiy_	Dialekti
1	и не	15	120
2	по себе	9	79
3	а не	5	78
4	и в	37	77
5	точки зрения	49	72
6	может быть	19	71
7	не только	29	66
8	то что	32	59
9	и есть	2	55
10	ничего не	6	54
11	не может	16	53
12	и даже	5	47
13	так как	11	46
14	с точки	34	46
15	есть нечто	2	46
16	что это	8	46
17	потому что	11	45
18	стало быть	2	44
19	как бы	16	43
20	ни в	6	42
21	и что	11	42
22	не имеет	5	41
23	вовсе не	5	41
24	в том	47	40
25	в этом	32	39
26	то же	12	39
27	в себе	8	38
28	это есть	2	38
29	что она	6	38
30	том что	42	37
31	что он	16	37
32	прежде всего	12	37
33	это не	5	36
34	так что	2	36
35	что в	25	34
36	в нем	2	34
37	и все	7	33
38	того что	28	33
39	но и	23	32
40	все это	9	31
41	ясно что	2	31
42	и как	7	30
43	отнюдь не	2	30
44	сказать что	16	30
45	так и	12	29
46	было бы	12	29
47	как и	20	28
48	никогда не	8	27
49	в виду	5	26
50	не в	9	26
51	сама по	3	26
52	есть не	3	25
53	и то	3	25
54	и пр	2	25
55	говорить о	4	25
56	учение о	4	25
57	если бы	10	24
58	и вот	3	23
59	в то	7	23
60	что оно	6	23
61	таким образом	39	23
62	но что	3	22
63	я не	4	22
64	она не	3	21
65	что не	2	21
66	в чем	5	21
67	в каком	3	20
68	только тогда	4	20
69	что все	8	20
70	только в	8	20
71	как раз	8	20
72	и вообще	2	20
73	что и	3	20
74	о том	14	20
75	уже не	2	20
76	и с	10	20
77	в своем	10	19
78	что мы	9	19
79	как это	6	19
80	и это	3	19
81	тогда когда	8	19
82	в самом	16	19
83	не существует	4	19
84	и его	10	19
85	что же	3	18
86	с другой	16	18
87	хотя бы	7	18
88	же время	2	18
89	жизни и	2	18
90	но если	3	17
91	в основе	9	17
92	той или	3	17
93	в сущности	13	17
94	можно сказать	6	17
95	должно быть	4	17
96	в своей	7	16
97	мы не	13	16
98	только не	2	16
99	сам по	3	16
100	одно и	2	16
101	то это	2	16
102	об этом	6	16
103	само по	3	16
104	сознания и	4	15
105	только что	7	15
106	также и	2	15
107	как таковой	2	15
108	все же	6	15
109	так же	18	15
110	в виде	3	15
111	самом деле	8	15
112	хотя и	2	15
113	и мы	3	15
114	на то	11	15
115	несмотря на	6	15
116	мы уже	7	15
117	и потому	3	14
118	и ее	9	14
119	с ним	3	14
120	же это	2	14
121	а именно	2	14
122	и только	2	14
123	и следовательно	3	13
124	в силу	8	13
125	не то	3	13
126	но в	9	13
127	в ней	2	13
128	время как	4	13
129	он не	11	13
130	что именно	3	13
131	мы находим	7	13
132	что они	5	13
133	другой стороны	10	13
134	с ее	3	13
135	в смысле	2	13
136	и к	9	13
137	не могу	3	13
138	вопрос о	11	12
139	могут быть	5	12
140	все эти	6	12
141	именно в	8	12
142	и если	4	12
143	перед нами	7	12
144	а в	4	12
145	тем более	7	12
146	с этим	8	12
147	но не	6	12
148	мы должны	11	11
149	нисколько не	2	11
150	должны быть	2	11
151	мы говорим	2	11
152	оно есть	2	11
153	от всего	2	11
154	от того	7	11
155	и тем	8	11
156	ничем не	3	11
157	его не	3	11
158	в них	5	11
159	что если	3	11
160	в данном	5	11
161	мы имеем	2	11
162	только то	2	11
163	как только	3	11
164	из них	4	11
165	или в	2	11
166	одно из	3	10
167	от этого	4	10
168	к тому	10	10
169	в ее	3	10
170	как мы	11	10
171	в его	16	10
172	за пределы	4	10
173	для того	19	10
174	с этой	7	10
175	себе и	3	10
176	или другой	2	10
177	и для	3	10
178	что для	8	10
179	в их	5	10
180	в частности	8	10
181	мы видим	7	10
182	во всяком	6	10
183	то и	4	10
184	в результате	7	10
185	в жизни	2	10
186	во всем	4	10
187	если мы	8	10
188	как он	7	9
189	точка зрения	3	9
190	и по	3	9
191	в истории	7	9
192	превращается в	3	9
193	подобно тому	2	9
194	в этих	3	9
195	и более	6	9
196	в котором	6	9
197	тому как	3	9
198	той же	4	9
199	в одном	5	9
200	или иной	3	9
201	и от	4	9
202	тому что	6	9
203	же как	8	9
204	при этом	6	9
205	случае не	2	9
206	в противоположность	3	9
207	то время	5	9
208	всех этих	2	9
209	бы в	5	9
210	мы можем	11	9
211	как о	2	9
212	на этом	3	9
213	и на	8	9
214	на самом	4	8
215	в отношении	14	8
216	как нечто	2	8
217	в этой	13	8
218	все время	8	8
219	и из	2	8
220	с одной	14	8
221	но все	3	8
222	что эта	7	8
223	даже в	4	8
224	вопрос об	8	8
225	в одной	3	8
226	при помощи	2	8
227	один из	3	8
228	всегда и	3	8
229	вот почему	5	8
230	когда мы	2	8
231	бы и	4	8
232	в сфере	4	8
233	этом смысле	3	8
234	как таковая	2	8
235	тем самым	8	7
236	что здесь	2	7
237	в конце	2	7
238	из этих	6	7
239	об отношении	15	7
240	он должен	4	7
241	и при	2	7
