N	3gram	Tiupa_Hudo	Psycholo
1	в том что	8	78
2	для того чтобы	5	70
3	в самом деле	2	51
4	с точки зрения	3	29
5	с одной стороны	3	28
6	не может быть	4	23
7	и в самом	3	22
8	к тому что	2	20
9	с другой стороны	6	20
10	этой точки зрения	2	12
11	в конечном счете	5	11
12	подобно тому как	3	11
13	с этой точки	2	10
14	том что он	2	10
15	в том и	2	9
16	в отличие от	7	9
17	и то же	3	8
18	а с другой	2	7
19	состоит в том	5	7
20	в свою очередь	2	7
21	можно сказать что	3	7
22	одно и то	3	7
23	в этом смысле	3	7
24	более или менее	6	6
25	тем не менее	3	6
26	сама по себе	2	6
27	того или иного	4	6
28	что в основе	2	5
29	в таком случае	2	5
30	несет в себе	3	4
31	одного и того	3	4
32	в основе своей	2	4
33	и того же	3	4
34	бы то ни	2	3
35	может быть и	2	3
36	на наших глазах	2	3
37	но он не	2	3
38	в то же	7	3
39	в отношении к	2	3
40	приводит к тому	2	3
41	по отношению к	10	3
42	то же время	7	3
43	мы имеем в	3	2
44	той или иной	5	2
45	то ни было	2	2
46	в области искусства	2	2
47	не в самом	2	2
48	том и состоит	2	2
49	в связи с	3	2
50	тех или иных	2	2
51	имеем в виду	3	2
52	а на деле	2	2
53	тем или иным	2	2
54	так или иначе	4	2
55	мы имеем дело	2	2
