N	3gram	Tiupa_Narr	DiskursI
1	в том что	11	28
2	в отличие от	6	26
3	по отношению к	5	17
4	с одной стороны	5	14
5	не может быть	6	12
6	в данном случае	12	12
7	той или иной	6	10
8	то же время	7	10
9	о том что	3	9
10	в то же	7	8
11	в этом отношении	5	8
12	состоит в том	5	8
13	и все же	4	7
14	тогда как в	2	7
15	не сводится к	7	6
16	в соответствии с	7	6
17	с точки зрения	2	6
18	в конечном счете	4	6
19	к тому же	8	6
20	но при этом	3	5
21	то же самое	3	5
22	подобно тому как	4	5
23	не только в	12	5
24	присутствия в мире	2	5
25	дело в том	2	5
26	в свою очередь	2	5
27	тем не менее	6	4
28	а с другой	2	4
29	одного и того	2	4
30	можно сказать что	5	4
31	существенную роль в	3	4
32	по сути дела	2	4
33	в частности в	2	4
34	и не может	3	4
35	свидетеля и судии	4	4
36	и того же	2	4
37	в строгом значении	2	4
38	одно и то	2	3
39	и то же	2	3
40	как правило не	2	3
41	более или менее	2	3
42	мы имеем дело	4	3
43	[...] в нем	2	3
44	во всяком случае	2	3
45	того или иного	3	3
46	в равной степени	3	3
47	к себе самому	3	2
48	события свидетель и	2	2
49	сами по себе	2	2
50	свидетель и судия	3	2
51	речь идет о	3	2
52	ни о чем	2	2
53	своего и чужого	2	2
54	самого рассказывания в	2	2
55	так и не	2	2
56	с той или	2	2
57	в е годы	2	2
58	тем или иным	2	2
59	но и в	4	2
60	заключает в себе	2	2
61	главное действующее лицо	2	2
62	едва ли не	2	2
63	лицо события свидетель	2	2
64	действующее лицо события	2	2
65	я в мире	3	2
66	обратим внимание на	2	2
67	и в то	2	2
68	и представляет собой	2	2
69	событие самого рассказывания	2	2
70	а в том	2	2
71	говорящего и слушающих	2	2
72	по большей части	5	2
