N	2gram	Nazirov_Vr	Poddanst
1	не только	9	17
2	и в	8	14
3	и не	5	12
4	в этом	8	10
5	но в	6	9
6	то же	5	9
7	в том	3	9
8	в то	5	7
9	же время	5	7
10	но и	7	6
11	в ней	4	6
12	а н	2	5
13	россии в	2	5
14	и о	3	5
15	может быть	4	5
16	что в	7	4
17	в своем	3	4
18	том что	3	4
19	а также	2	4
20	в котором	6	4
21	в русской	3	4
22	как бы	4	4
23	то что	7	4
24	не может	2	4
25	а в	2	4
26	же в	2	4
27	и как	3	3
28	это не	4	3
29	т е	3	3
30	с точки	2	3
31	в россии	5	3
32	столь же	2	3
33	в себе	2	3
34	точки зрения	2	3
35	в нем	6	3
36	между тем	5	3
37	наряду с	3	3
38	для нас	4	2
39	и дети	2	2
40	в них	2	2
41	в мире	2	2
42	одна из	2	2
43	отношения к	2	2
44	в эту	2	2
45	и это	2	2
46	и достоевского	9	2
47	в его	3	2
48	не менее	2	2
49	в начале	6	2
50	тем более	2	2
51	все это	4	2
52	не было	5	2
53	и с	6	2
54	как раз	2	2
55	из них	2	2
56	отнюдь не	2	2
