N	2gram	Vygotskiy_	VelikijI
1	и не	27	20
2	и в	47	16
3	так как	25	9
4	то что	40	9
5	еще не	5	8
6	и потому	3	7
7	что они	11	7
8	а не	7	7
9	не есть	4	6
10	как бы	13	5
11	но и	19	5
12	все это	5	5
13	хотя и	4	5
14	что есть	2	5
15	того что	27	5
16	что все	6	4
17	и все	5	4
18	как и	19	4
19	в котором	6	4
20	потому что	26	4
21	все что	7	4
22	в нем	6	4
23	в ней	5	4
24	что не	2	4
25	что мы	14	4
26	в его	7	4
27	они будут	2	4
28	в этом	47	4
29	что он	13	4
30	и есть	4	4
31	так и	8	4
32	никогда не	7	3
33	что в	23	3
34	в том	38	3
35	и для	5	3
36	от этого	3	3
37	не имеет	6	3
38	тому что	14	3
39	но в	9	3
40	к тому	13	3
41	ни в	3	3
42	их в	2	3
43	но это	4	3
44	должно быть	3	3
45	оно не	3	3
46	в своей	4	3
47	во всех	9	3
48	нас и	2	3
49	в конце	5	3
50	и против	2	3
51	за ним	3	3
52	по этому	4	3
53	в них	3	3
54	что и	4	3
55	лишь в	3	3
56	и что	14	3
57	не в	7	3
58	все эти	7	3
59	в этих	2	3
60	в чем	5	3
61	и то	10	2
62	с тем	8	2
63	они и	2	2
64	одна из	2	2
65	но не	13	2
66	нет и	4	2
67	что их	2	2
68	не могли	5	2
69	и это	2	2
70	это не	6	2
71	ее в	11	2
72	не только	36	2
73	не могут	9	2
74	является в	7	2
75	а в	3	2
76	том что	28	2
77	на том	2	2
78	его к	2	2
79	но мы	5	2
80	и во	5	2
81	во всяком	2	2
82	и тогда	3	2
83	могут быть	7	2
84	значения и	3	2
85	один из	3	2
86	в старой	2	2
87	того чтобы	26	2
88	над ними	2	2
89	тем что	14	2
90	чтобы сделать	2	2
91	вот почему	3	2
92	мы не	10	2
93	конечно не	2	2
94	что было	2	2
95	можно было	7	2
96	только в	24	2
97	до того	2	2
98	все равно	2	2
99	его и	2	2
100	для нас	4	2
101	в себя	4	2
102	на этих	2	2
103	прежде всего	9	2
104	вместо того	2	2
105	с ним	5	2
106	всего в	2	2
107	это мы	6	2
108	между тем	2	2
109	мы и	5	2
110	а с	3	2
111	для него	6	2
112	не с	3	2
