N	2gram	Vinokur_Vv	Mirosoze
1	и в	35	97
2	может быть	30	64
3	не только	26	63
4	в этом	35	55
5	но и	7	54
6	а не	5	53
7	в нем	13	49
8	не может	19	49
9	и не	13	39
10	никогда не	3	38
11	потому что	18	37
12	в ней	3	37
13	не было	2	36
14	не в	10	34
15	и есть	3	33
16	есть лишь	2	30
17	не есть	5	30
18	прежде всего	10	29
19	как и	7	29
20	но в	10	27
21	и это	6	25
22	в своей	4	25
23	у нас	2	24
24	в своем	3	23
25	что в	13	23
26	что он	5	22
27	в самом	13	21
28	в себе	4	20
29	отношение к	3	20
30	до конца	3	19
31	как бы	7	19
32	в его	12	18
33	и потому	2	17
34	того что	12	17
35	в том	38	16
36	том что	30	16
37	то что	19	16
38	было бы	7	16
39	и его	6	16
40	в этой	3	15
41	в котором	4	15
42	в конце	3	14
43	так как	15	14
44	и вот	3	13
45	и на	3	13
46	это не	8	12
47	к нему	3	12
48	смысле слова	7	12
49	в них	5	12
50	все это	6	12
51	но не	9	12
52	он сам	3	12
53	с тем	6	11
54	любовь к	4	11
55	но это	2	11
56	хотя бы	6	11
57	только в	16	11
58	как в	3	11
59	и для	4	11
60	уже не	6	11
61	и к	3	11
62	жизни и	2	11
63	не могут	6	10
64	так же	3	10
65	есть не	5	10
66	один из	6	10
67	должна быть	2	10
68	то же	11	10
69	связана с	4	10
70	не имеет	4	10
71	есть и	5	9
72	бы и	3	9
73	а в	6	9
74	к тому	4	9
75	что и	5	9
76	должно быть	2	9
77	в свою	2	9
78	не мог	2	9
79	вместе с	6	9
80	вопрос о	10	8
81	ничего не	2	8
82	в этих	3	8
83	что не	5	8
84	того чтобы	22	8
85	в отношении	3	8
86	т е	40	8
87	себя в	2	8
88	тем что	6	8
89	для того	23	8
90	отношении к	2	8
91	о том	16	8
92	и с	2	8
93	уже в	5	8
94	она есть	5	7
95	как он	6	7
96	но если	6	7
97	должен быть	4	7
98	мог бы	2	7
99	точки зрения	12	7
100	что она	3	7
101	на этом	3	7
102	также и	20	7
103	не существует	2	7
104	во всем	2	7
105	чем в	3	7
106	его в	6	6
107	не как	3	6
108	у них	2	6
109	увидим что	2	6
110	в ее	11	6
111	и те	2	6
112	совсем не	3	6
113	должен был	4	6
114	это есть	2	6
115	быть и	2	6
116	того как	3	6
117	что это	3	6
118	можно было	8	6
119	если бы	3	6
120	с этой	5	6
121	прийти к	2	6
122	на то	2	6
123	и здесь	3	6
124	в которых	6	6
125	не к	2	6
126	в то	6	5
127	в их	12	5
128	так и	2	5
129	все время	2	5
130	от этого	5	5
131	в более	4	5
132	до того	2	5
133	к культуре	2	5
134	сказать что	6	5
135	во всяком	5	5
136	да и	4	5
137	одно из	5	5
138	с этим	3	5
139	этот процесс	4	5
140	которые не	2	5
141	мысли и	2	5
142	и как	9	5
143	бы в	2	5
144	для этого	3	5
145	еще не	4	5
146	как будто	3	5
147	сих пор	7	5
148	после того	2	5
149	на протяжении	2	5
150	был в	2	5
151	до сих	7	5
152	той же	4	5
153	по отношению	4	4
154	как о	4	4
155	в каждом	4	4
156	иное как	6	4
157	не что	5	4
158	от того	3	4
159	конце концов	2	4
160	так что	5	4
161	может ли	2	4
162	что иное	5	4
163	духовной жизни	3	4
