N	2gram	Tiupa_Disk	Psycholo
1	то что	10	193
2	и в	27	190
3	в том	29	163
4	что в	8	123
5	потому что	7	114
6	том что	27	113
7	и что	2	108
8	может быть	29	107
9	таким образом	4	102
10	в этом	29	100
11	то есть	29	97
12	в самом	4	82
13	как бы	9	80
14	что он	6	76
15	не только	36	75
16	и не	25	73
17	самом деле	2	70
18	точки зрения	6	69
19	не может	17	68
20	в басне	2	54
21	то же	12	54
22	о том	12	54
23	при этом	22	52
24	как и	27	51
25	что и	5	50
26	а не	35	50
27	заключается в	3	46
28	только в	9	46
29	в сущности	3	46
30	сказать что	4	46
31	по себе	3	46
32	к тому	6	45
33	не в	8	45
34	в этой	5	43
35	никогда не	3	42
36	и все	5	42
37	вместе с	3	41
38	как это	2	40
39	но и	22	40
40	того что	4	39
41	же самое	2	38
42	и это	3	37
43	и как	9	36
44	и его	4	34
45	когда он	3	33
46	все же	8	33
47	все это	2	32
48	в себе	22	32
49	в ней	2	31
50	мы не	2	31
51	в его	9	31
52	он не	4	31
53	как будто	3	30
54	как в	16	30
55	с одной	12	29
56	с точки	3	29
57	одной стороны	12	29
58	в нем	16	29
59	и то	4	28
60	в основе	11	27
61	с другой	14	27
62	в своих	6	27
63	а в	5	27
64	и на	8	27
65	жизни и	2	25
66	до конца	2	24
67	в целом	5	24
68	указывает на	2	24
69	тем что	4	24
70	в своем	11	23
71	целый ряд	2	23
72	могут быть	5	23
73	один из	3	23
74	и даже	4	22
75	с этим	3	22
76	между тем	5	22
77	из них	6	22
78	всякий раз	2	22
79	в своей	10	21
80	как мы	2	21
81	том чтобы	2	21
82	ни в	7	21
83	в котором	7	21
84	в которых	5	21
85	той же	2	21
86	все эти	2	20
87	в то	8	20
88	это не	5	20
89	дело с	2	20
90	мы имеем	4	20
91	другой стороны	5	20
92	на этом	3	20
93	в ее	4	19
94	в какой	2	19
95	в одном	5	19
96	перед нами	4	18
97	но в	15	18
98	что с	2	18
99	но не	17	18
100	в которой	2	18
101	с этой	2	18
102	и есть	2	18
103	в виду	2	17
104	иначе говоря	5	17
105	во всяком	3	17
106	из этих	3	17
107	но это	3	17
108	и о	4	17
109	мы все	2	17
110	так и	14	16
111	самого начала	2	16
112	тому как	5	16
113	сводится к	7	16
114	и к	4	16
115	и тем	2	16
116	к этому	4	16
117	с самого	2	16
118	и потому	3	15
119	еще не	20	15
120	не могут	2	15
121	далеко не	10	15
122	на примере	3	15
123	только на	2	15
124	в частности	18	15
125	в них	6	15
126	во всех	6	15
127	в результате	3	15
128	для него	9	15
129	о котором	2	15
130	что на	3	14
131	с той	3	14
132	не то	2	14
133	должна быть	2	14
134	хотя бы	3	14
135	столь же	6	14
136	к искусству	2	14
137	это и	2	14
138	прежде всего	17	14
139	в области	3	14
140	этом отношении	4	14
141	в жизни	2	14
142	всяком случае	2	14
143	или в	2	14
144	а с	8	13
145	точка зрения	3	13
146	речь идет	2	13
147	именно в	5	13
148	отнюдь не	11	13
149	едва ли	2	13
150	со стороны	17	13
151	могла бы	2	13
152	и он	2	13
153	в той	2	13
154	идет о	2	12
155	состоит в	20	12
156	того же	5	12
157	в этих	4	12
158	в рассказе	6	12
159	их в	2	12
160	может служить	2	12
161	в свою	3	12
162	не менее	6	12
163	что не	4	12
164	и до	2	12
165	и может	3	12
166	например в	4	12
167	это в	4	12
168	об этом	3	12
169	в конечном	2	12
170	и с	2	12
171	как к	2	11
172	отличие от	13	11
173	так например	2	11
174	подобно тому	4	11
175	исходя из	3	11
176	с его	9	11
177	конечном счете	2	11
178	есть в	3	11
179	уже в	2	11
180	не было	9	11
181	данном случае	6	10
