N	4gram	Vygotskiy_	Psycholo
1	заключается в том что	16	23
2	в то время как	5	13
3	одной и той же	5	12
4	с этой точки зрения	4	10
5	заключается в том чтобы	2	9
6	в том случае если	2	7
7	одно и то же	6	7
8	не что иное как	2	6
9	один и тот же	6	5
10	так же как и	6	5
11	одним и тем же	4	4
12	в собственном смысле слова	3	4
13	в том что в	3	4
14	одного и того же	5	4
15	состоит в том что	4	4
16	в силу того что	2	4
17	в том виде как	3	3
18	и вместе с тем	2	3
19	одни и те же	3	3
20	согласны в том что	2	3
21	мы могли бы сказать	5	3
22	в том смысле что	2	3
23	заключается только в том	2	2
24	мы видим таким образом	5	2
25	если мы обратимся к	4	2
26	могли бы сказать что	5	2
27	только в том что	4	2
28	вместе с тем и	4	2
29	видим таким образом что	5	2
30	если принять во внимание	2	2
31	в том что они	2	2
