N	3gram	Vinokur_Vv	RusskieA
1	в том что	15	49
2	состоит в том	2	29
3	и т д	39	21
4	тем не менее	9	14
5	в этом случае	6	12
6	вместе с тем	3	11
7	о том что	13	10
8	в том чтобы	5	9
9	в данном случае	4	8
10	для того чтобы	22	8
11	подобно тому как	2	8
12	т е в	4	7
13	как мы видели	3	6
14	по этому поводу	3	6
15	не может быть	10	6
16	после того как	2	6
17	в связи с	2	5
18	не что иное	5	4
19	во всяком случае	5	4
20	можно было бы	4	4
21	как мы уже	2	4
22	что иное как	5	4
23	в этих случаях	2	4
24	что в этом	2	4
25	в отличие от	4	4
26	но вместе с	2	3
27	и потому что	2	3
28	по отношению к	4	3
29	может быть и	2	3
30	с тем что	3	3
31	с точки зрения	4	3
32	и в том	4	3
33	до сих пор	7	3
34	к выводу что	6	3
35	в свою очередь	2	3
36	к этому времени	2	2
37	половине xix в	2	2
38	мы уже знаем	2	2
39	всяком случае не	2	2
40	потому что он	2	2
41	можно сказать что	3	2
42	в этом отношении	4	2
43	не только в	4	2
44	вопрос о том	5	2
45	и в этом	4	2
46	с одной стороны	4	2
47	и т п	5	2
48	направление в изучении	2	2
49	с другой стороны	5	2
50	это еще не	2	2
51	но все же	4	2
52	не только как	4	2
