N	2gram	Tiupa_Vved	RusskieA
1	и в	23	79
2	в том	21	64
3	том что	16	59
4	что в	6	57
5	не только	32	41
6	во время	3	38
7	в этом	27	33
8	состоит в	23	32
9	как бы	8	31
10	но и	31	31
11	как и	21	28
12	может быть	25	28
13	и на	5	28
14	в этот	3	26
15	одна из	5	24
16	о том	7	23
17	при этом	43	22
18	это не	7	20
19	как мы	5	20
20	а в	15	20
21	представляют собой	3	18
22	все это	3	18
23	потому что	7	17
24	то что	9	17
25	об этом	5	17
26	таким образом	6	17
27	вместе с	2	17
28	мы не	6	16
29	один из	3	15
30	будто бы	3	15
31	у нас	4	14
32	мы видели	3	14
33	для нас	4	14
34	не менее	4	14
35	в них	4	14
36	как это	2	14
37	тем не	3	14
38	и не	24	14
39	и с	2	14
40	и что	2	14
41	и по	3	13
42	к этому	3	13
43	не может	14	13
44	еще не	8	13
45	как в	8	13
46	уже не	7	13
47	в которых	2	13
48	между собой	2	12
49	мы имеем	8	12
50	тем что	2	12
51	что на	4	11
52	а на	4	11
53	но это	4	11
54	не имеет	3	11
55	далеко не	5	11
56	так и	14	10
57	так например	2	10
58	между тем	3	10
59	все же	10	10
60	что и	6	10
61	а также	12	10
62	в течение	2	10
63	том чтобы	2	10
64	представляет собой	18	10
65	или в	3	10
66	данном случае	15	9
67	о чем	4	9
68	но в	14	9
69	к жизни	2	9
70	и все	8	9
71	что они	2	9
72	то же	8	9
73	но не	9	9
74	видно что	2	9
75	так же	2	8
76	того что	7	8
77	в данном	22	8
78	на себя	5	8
79	того чтобы	2	8
80	их в	3	8
81	же в	3	8
82	связи с	2	8
83	что это	2	8
84	не все	2	8
85	во всех	2	8
86	подобно тому	3	8
87	в этих	5	8
88	тому как	3	8
89	в своем	9	7
90	ничего не	3	7
91	начиная с	3	7
92	не в	12	7
93	а с	4	7
94	к нему	2	7
95	было бы	4	7
96	до конца	5	7
97	для этого	2	7
98	из этих	5	7
99	и как	2	7
100	это время	2	7
101	еще в	3	7
102	не можем	2	7
103	только в	9	7
104	как будто	6	7
105	а не	31	7
106	в этой	2	6
107	должны были	3	6
108	и у	2	6
109	в их	2	6
110	не всегда	2	6
111	только на	2	6
112	тому что	2	6
113	к тому	9	6
114	в нем	9	6
115	так в	5	6
116	в году	2	6
117	с ними	2	6
118	в качестве	18	6
119	но она	2	6
120	в одном	5	6
121	что она	2	6
122	и о	4	6
123	должен был	2	6
124	но они	3	6
125	и более	5	6
126	на нее	2	6
127	приводит к	2	6
128	в таком	2	6
129	на самом	5	5
130	и потому	2	5
131	вплоть до	2	5
132	к себе	2	5
133	что он	2	5
134	прежде всего	11	5
135	и др	2	5
136	в разных	2	5
137	к ним	4	5
138	в свою	5	5
139	заметить что	2	5
140	в то	5	5
141	в целом	4	5
142	для них	3	5
143	тогда как	16	5
144	не было	5	5
145	например в	2	5
146	после обеда	2	5
147	в его	9	5
148	по поводу	5	5
149	то и	2	5
150	его с	2	5
151	можно было	2	5
152	как правило	6	5
153	в особенности	3	5
154	не с	4	5
155	и для	8	5
156	с другой	10	5
157	входит в	2	5
158	и к	2	5
159	отнюдь не	14	5
160	или даже	2	5
161	с ним	3	5
162	этих случаях	2	5
163	если в	3	4
164	и ее	2	4
165	у них	3	4
166	связано с	3	4
167	здесь мы	2	4
168	от них	2	4
169	ставят на	2	4
170	своего рода	20	4
171	отличие от	11	4
172	не столько	5	4
173	могут быть	5	4
174	не на	3	4
175	во всяком	3	4
176	в основе	6	4
177	и от	3	4
178	по своему	3	4
179	а к	3	4
180	дело не	2	4
181	несмотря на	2	4
182	и здесь	2	4
183	не просто	2	4
184	она в	2	4
185	в отличие	11	4
186	что у	4	4
187	что для	2	4
188	в котором	11	4
189	в своих	5	4
190	уже в	2	4
191	в ней	5	4
192	которое в	4	4
193	всяком случае	3	4
194	и после	2	4
195	на основе	2	4
196	но он	2	4
197	никогда не	6	3
198	очевидно что	2	3
199	ее и	2	3
200	том как	4	3
201	в одной	2	3
202	и через	2	3
203	них как	2	3
204	то есть	13	3
205	в виду	3	3
206	тут же	3	3
207	как он	2	3
208	или менее	2	3
209	любви и	2	3
210	и это	2	3
211	более или	2	3
212	на другой	2	3
213	в области	5	3
214	в какой	4	3
215	и во	2	3
216	в своей	10	3
217	свою очередь	5	3
218	место в	2	3
219	этом не	2	3
220	хотя и	10	3
221	имеет место	6	3
222	или не	3	3
223	говорилось выше	2	3
224	по отношению	11	3
225	которые не	2	3
226	не имели	2	3
227	на него	3	3
228	если бы	10	3
229	на первый	3	3
230	так называемой	2	3
231	жизни в	5	3
232	а именно	3	3
233	отношению к	11	3
234	что касается	5	3
235	с одной	9	3
236	есть в	2	3
237	на этот	2	3
238	восходит к	2	3
239	не к	4	3
240	на то	3	3
241	все что	3	3
242	слова в	3	3
243	можно назвать	2	3
244	сводится к	6	3
245	здесь не	2	3
246	и его	9	3
247	нас нет	2	3
248	в период	2	3
249	тому же	6	3
250	быть и	2	3
251	и притом	3	2
252	могло бы	4	2
253	в себе	15	2
254	в приведенном	2	2
255	перед нами	13	2
256	не как	2	2
257	в силу	2	2
258	в конце	3	2
259	отношение к	5	2
260	судя по	3	2
261	и наконец	2	2
262	должен быть	3	2
263	одним из	5	2
264	подобного рода	3	2
265	и тем	3	2
266	в частности	19	2
267	самом деле	6	2
268	к различным	3	2
269	в него	2	2
270	тот кто	2	2
271	но так	2	2
272	они не	3	2
273	а мы	2	2
274	точка зрения	3	2
275	одной стороны	9	2
276	по этой	2	2
277	ответ на	2	2
278	но возможно	2	2
279	в состав	5	2
280	в е	3	2
281	не говорится	3	2
282	исходя из	4	2
283	между двумя	5	2
284	когда в	2	2
285	можно сказать	6	2
286	обращается к	2	2
287	который в	5	2
288	для обозначения	2	2
289	для него	5	2
290	пока еще	6	2
291	он не	6	2
292	другой стороны	3	2
293	и он	4	2
294	как оно	2	2
295	в начале	3	2
296	тем более	3	2
297	другой в	2	2
298	особенно в	3	2
299	если она	2	2
300	к наиболее	2	2
301	было не	2	2
302	еще до	2	2
303	этом и	2	2
304	и даже	3	2
305	мы можем	2	2
306	целый ряд	2	2
307	принадлежат к	4	2
308	этом отношении	7	2
309	не является	7	2
310	как по	2	2
311	совершенно не	2	2
312	как у	3	2
313	в пределах	3	2
314	быть только	2	2
315	не могло	2	2
316	как известно	2	2
317	в жизни	7	2
318	ни с	2	2
319	за пределами	3	2
320	в чем	2	2
321	что такое	23	2
322	оно не	2	2
323	быть не	4	2
324	следует признать	6	2
325	о них	4	2
326	но на	2	2
327	по себе	2	2
328	раз и	2	2
329	и затем	2	2
330	значения и	2	2
331	в противном	2	2
332	говорить о	5	2
333	у него	8	2
334	день и	2	2
335	как его	2	2
336	в нашем	9	2
337	о которой	4	2
338	однако не	2	2
339	и сами	2	2
