N	2gram	Bakhtin_sl	StatiiOP
1	и в	69	103
2	в том	7	89
3	том что	6	77
4	в этом	21	76
5	что в	3	74
6	не только	37	60
7	и т	56	51
8	о том	5	47
9	но и	37	46
10	то что	2	44
11	что он	2	42
12	в его	19	42
13	и не	32	41
14	может быть	40	38
15	было бы	3	32
16	т д	7	32
17	вовсе не	16	31
18	все это	14	29
19	таким образом	16	28
20	а в	10	27
21	а не	29	27
22	но в	13	26
23	так и	22	25
24	этом отношении	2	24
25	и его	45	24
26	все же	10	23
27	не в	14	23
28	так что	2	23
29	точки зрения	24	23
30	потому что	2	23
31	того что	4	22
32	прежде всего	14	22
33	для того	2	22
34	у нас	2	22
35	в которой	4	22
36	как в	18	22
37	это не	8	20
38	до сих	4	20
39	т п	49	19
40	в то	17	19
41	сих пор	4	19
42	в своей	8	19
43	только в	9	19
44	не может	27	18
45	с другой	8	18
46	в котором	2	18
47	он не	5	18
48	в данном	5	17
49	в самом	6	17
50	как бы	16	17
51	с этим	5	16
52	сказать что	4	16
53	в ней	7	16
54	можно было	2	16
55	в этих	8	16
56	в отношении	9	15
57	как и	8	15
58	для него	8	15
59	например в	6	15
60	другой стороны	5	15
61	из этих	3	15
62	также и	5	15
63	и на	17	15
64	у него	5	15
65	как раз	3	15
66	к тому	3	14
67	между тем	5	14
68	то же	17	14
69	но все	2	14
70	с точки	11	14
71	и что	2	14
72	в своем	9	13
73	а с	2	13
74	тому что	2	13
75	но это	3	13
76	в качестве	4	13
77	в нем	44	13
78	во всяком	9	13
79	дело в	2	13
80	в языке	7	13
81	именно в	5	13
82	из них	3	13
83	всяком случае	7	13
84	в той	13	13
85	жизни и	5	13
86	вместе с	3	13
87	не менее	4	12
88	что они	2	12
89	так как	7	12
90	хотя бы	6	12
91	ни в	4	12
92	никогда не	9	11
93	и с	10	11
94	в другом	4	11
95	в них	11	11
96	все эти	15	11
97	и по	3	11
98	того как	2	11
99	это было	2	11
100	на то	2	11
101	не было	4	11
102	на самом	2	10
103	так же	2	10
104	в виду	2	10
105	а как	3	10
106	в частности	3	10
107	xix века	2	10
108	ничего не	5	10
109	связь с	2	10
110	не столько	4	10
111	в целом	3	10
112	что и	2	10
113	отметить что	3	10
114	в истории	6	10
115	во всех	25	10
116	кроме того	6	10
117	но не	7	10
118	же время	15	10
119	но он	4	10
120	в каждом	5	9
121	в чем	2	9
122	такого рода	2	9
123	несмотря на	2	9
124	место в	2	9
125	там где	10	9
126	можно сказать	2	9
127	в одном	4	9
128	не является	3	9
129	с этой	3	9
130	и для	7	9
131	и к	9	9
132	для нас	7	9
133	и тем	3	9
134	до конца	25	8
135	могут быть	25	8
136	отношение к	8	8
137	в их	6	8
138	связано с	3	8
139	и др	17	8
140	той же	3	8
141	в какой	2	8
142	связи с	4	8
143	к этому	3	8
144	а также	5	8
145	дело не	2	8
146	в результате	4	8
147	тем не	2	8
148	и даже	11	8
149	одним из	5	8
150	совершенно не	2	8
151	п в	2	8
152	и о	3	8
153	действующих лиц	2	8
154	и более	3	8
155	еще более	7	8
156	подчеркнуть что	2	8
157	данном случае	3	7
158	уже в	2	7
159	в виде	4	7
160	одной из	4	7
161	что все	2	7
162	в эту	3	7
163	того же	7	7
164	точка зрения	10	7
165	как это	3	7
166	в ее	2	7
167	не все	2	7
168	и то	2	7
169	с которыми	2	7
170	то в	2	7
171	отличается от	3	7
172	лишь в	6	7
173	еще не	9	7
174	отношению к	2	7
175	связан с	2	7
176	по себе	4	7
177	из этого	3	7
178	то время	2	7
179	не просто	2	7
180	на почве	6	7
181	даже в	4	6
182	о которых	2	6
183	в себе	3	6
184	в одной	2	6
185	по отношению	2	6
186	должен быть	3	6
187	в новом	3	6
188	его не	4	6
189	по существу	3	6
190	к нему	7	6
191	и все	9	6
192	в известном	2	6
193	на его	9	6
194	языка и	18	6
195	и во	3	6
196	и языка	5	6
197	же как	2	6
198	и вообще	2	6
199	с его	8	6
200	его как	3	6
201	мы не	4	6
202	и здесь	5	6
203	при его	2	6
204	в особенности	10	6
205	же и	4	6
206	и сам	4	6
207	время как	2	6
208	только не	2	6
209	говорить о	2	6
210	в некоторых	3	6
211	литературного языка	28	6
212	его в	7	5
213	не был	2	5
214	в свое	3	5
215	том же	4	5
216	как он	2	5
217	точку зрения	6	5
218	и потому	9	5
219	не приходится	2	5
220	одного из	2	5
221	далее в	2	5
222	одной стороны	7	5
223	отношении к	9	5
224	один из	9	5
225	конечно и	3	5
226	не была	3	5
227	при этом	12	5
228	в сущности	18	5
229	не на	6	5
230	должна быть	3	5
231	в двух	2	5
232	хотя и	4	5
233	в речах	3	5
234	или иного	2	5
