N	2gram	Propp_Morf	Istorich
1	в сказке	27	252
2	и в	17	181
3	и т	62	160
4	т д	60	142
5	т е	25	133
6	может быть	61	115
7	не только	8	114
8	что он	5	111
9	мы имеем	19	102
10	что в	10	90
11	но и	9	85
12	в этом	18	81
13	так как	20	75
14	то что	10	73
15	таким образом	26	72
16	в лесу	2	68
17	и не	16	67
18	все же	9	65
19	мы видим	15	65
20	в этих	17	64
21	еще не	4	63
22	не может	19	61
23	этих случаях	15	60
24	так же	4	57
25	то же	10	56
26	в том	10	53
27	том что	7	53
28	в лес	7	53
29	с другой	9	52
30	а в	8	52
31	потому что	7	52
32	что и	10	51
33	и что	3	51
34	и здесь	7	51
35	о том	6	48
36	а не	11	48
37	его в	4	47
38	не в	3	47
39	другой стороны	5	46
40	превращается в	2	45
41	мы должны	3	44
42	но в	4	44
43	и пр	45	44
44	это не	6	43
45	и его	3	43
46	только в	3	42
47	как в	5	42
48	этот случай	7	42
49	или в	6	39
50	для нас	2	38
51	тем что	4	38
52	так и	10	37
53	он не	5	37
54	уже не	4	37
55	как и	4	37
56	мы уже	4	37
57	мы можем	5	36
58	мы увидим	10	36
59	здесь мы	3	35
60	с тем	2	35
61	что они	5	35
62	все эти	5	35
63	мы не	8	35
64	не всегда	10	34
65	во время	6	34
66	что это	3	34
67	но не	8	34
68	видим что	12	34
69	связи с	12	34
70	у него	2	34
71	там где	5	33
72	об этом	5	33
73	в качестве	8	32
74	иное царство	6	32
75	в иное	6	31
76	представляет собой	17	31
77	ничего не	5	31
78	прежде всего	14	31
79	один из	7	31
80	то это	5	31
81	при помощи	12	30
82	в сказках	3	30
83	с этим	14	30
84	с одной	2	30
85	к нему	3	30
86	но все	4	29
87	как мы	8	29
88	одной стороны	2	29
89	этом случае	10	29
90	но это	6	29
91	например в	2	28
92	что она	2	28
93	и другие	6	28
94	что сказка	4	28
95	в образе	6	27
96	героя в	5	27
97	того что	3	27
98	могут быть	21	27
99	здесь можно	5	27
100	в ином	3	27
101	как это	7	26
102	и др	12	26
103	представляют собой	16	26
104	на него	4	26
105	вопрос о	10	25
106	раньше чем	5	24
107	было бы	5	24
108	если бы	3	24
109	в виде	3	24
110	что мы	2	24
111	к этому	4	24
112	не менее	7	24
113	видно что	5	24
114	того как	2	24
115	не будем	5	23
116	все это	2	23
117	тем не	7	23
118	в доме	2	23
119	в частности	2	23
120	точно так	2	23
121	в этой	3	23
122	их в	2	23
123	имеем в	8	23
124	как бы	6	23
125	и по	3	22
126	в некоторых	4	22
127	в одном	2	21
128	сказать что	4	21
129	ее в	3	21
130	в другом	2	21
131	к тому	5	21
132	они не	3	21
133	здесь не	3	21
134	в связи	10	21
135	она не	2	20
136	одна из	5	20
137	в других	5	20
138	из них	4	20
139	после чего	2	20
140	наряду с	7	20
141	змея и	4	20
142	очень часто	6	20
143	из этих	2	20
144	так например	3	19
145	а затем	10	19
146	и как	6	19
147	все еще	3	19
148	с собой	3	19
149	в тех	8	19
150	есть и	4	19
151	сказке о	2	19
152	на то	3	19
153	что этот	2	18
154	не все	6	18
155	в данном	2	18
156	вовсе не	6	18
157	в то	4	18
158	по существу	13	17
159	и только	3	17
160	очень много	2	17
161	и этим	7	17
162	том как	2	17
163	дело не	2	17
164	когда герой	2	17
165	то мы	5	16
166	герой в	2	16
167	связана с	3	16
168	со стороны	5	16
169	перед нами	14	16
170	этот вопрос	4	16
171	коня и	2	16
172	во всех	6	16
173	данном случае	2	15
174	в целом	5	15
175	волшебной сказки	3	15
176	на его	5	15
177	нет необходимости	7	15
178	его и	2	15
179	в пределах	3	15
180	трудные задачи	4	15
181	друг друга	3	15
182	и даже	2	15
183	на коне	5	15
184	в которых	2	15
185	как будто	2	15
186	в одной	2	15
187	но есть	3	15
188	и тем	3	15
